"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"4617";"SC16-196m56";"ND";"2016";"SC";"56";"m";"British";"White";"Scotland";"mostly English, some Scots";"English";"English";"state-funded";"state-funded";"Bachelor";"Mental health development worker";"Degree";"Teacher";"Degree";"Accountant";"";"";"ND";"56";"ND";"1.0";"";"Scotland";"";"56";"1.0";"";"Male";"State";"State";"English, Scots";"English";"English";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"4618";"SC16-197m21";"ND";"2016";"SC";"21";"m";"Scottish";"Caucasian";"Scotland, Galloway";"mostly English, some Scots";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: Higher";"Delivery Driver";"";"Carer";"";"";"";"";"ND";"21";"ND";"1.0";"";"Scotland";"";"21";"1.0";"";"Male";"State";"State";"English, Scots";"English";"English";"Secondary Education";"";"";"";"Secondary Education"
"4619";"SC16-198NA44";"ND";"2016";"SC";"44";"";"British";"";"Scotland";"mostly English, some Scots";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: Higher grades";"Customer service advisor";"Bachelor";"Company director";"High School";"Company director";"Bachelor";"Nuse";"ND";"44";"ND";"1.0";"";"Scotland";"";"44";"1.0";"";"";"State";"State";"English, Scots";"English";"English";"Secondary Education";"Higher Education";"Secondary Education";"Higher Education";"Secondary Education"
"4620";"SC16-199m32";"ND";"2016";"SC";"32";"m";"Scottish";"White Scottish";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: Higher";"Customer service advisor";"Degree";"Social worker";"Degree";"Teacher";"Degree";"Service desk advisor";"ND";"32";"ND";"1.0";"";"Scotland";"";"32";"1.0";"";"Male";"State";"State";"English";"English";"English";"Secondary Education";"Higher Education";"Higher Education";"Higher Education";"Secondary Education"
"4621";"SC16-200f47";"ND";"2016";"SC";"47";"f";"British/Scottish";"White Caucasian";"Glasgow";"mostly English, some Scots";"Scots, English";"Scots, English";"state-funded";"";"Master's";"Journalist";"";"Cleaner";"";"Fishery (?)";"";"";"ND";"44";"ND";"0.94";"23-25 East/West Europe; 45 Norway";"Scotland";"";"44";"0.94";"";"Female";"State";"";"English, Scots";"Scots, English";"Scots, English";"Higher Education";"";"";"";"Higher Education"
"4622";"SC16-201m20";"ND";"2016";"SC";"20";"m";"Scottish";"British";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school";"";"Degree";"Care worker";"Degree";"Chairman of charity";"";"";"ND";"19";"ND";"0.95";"0 England";"Scotland";"";"19";"0.95";"";"Male";"State";"State";"English";"English";"English";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"4623";"SC16-202f20";"ND";"2016";"SC";"20";"f";"Irish";"White";"Ireland";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"Physiotherapy";"Physiotherapist";"Master's";"Government engineer agency";"";"";"ND";"";"ND";"";"0-20 IrelandIrish";"Ireland";"";"20";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Work-Based Learning";"Higher Education";"";"Higher Education"
"4624";"SC16-203m43";"ND";"2016";"SC";"43";"m";"Scottish";"White Scottish";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: O-Grade";"Hotel manager";"Secondary school";"Radiographer";"Secondary school";"HGV Driver";"Bachelor";"Group manager at Barclay's Bank";"ND";"43";"ND";"1.0";"";"Scotland";"";"43";"1.0";"";"Male";"State";"State";"English";"English";"English";"Secondary Education";"Secondary Education";"Secondary Education";"Higher Education";"Secondary Education"
"4625";"SC16-204m32";"ND";"2016";"SC";"32";"m";"British";"Scottish";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school, Bachelor";"Sales assitant";"";"";"";"";"";"";"ND";"18";"ND";"0.56";"0-14 Northern Ireland";"Scotland";"Northern Ireland";"18";"0.56";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"";"";"";"Higher Education"
"4626";"SC16-205f44";"ND";"2016";"SC";"44";"f";"";"";"Scotland";"mostly English, some Scots";"Gaelic";"English";"state-funded";"state-funded";"Bachelor";"NHS Manager";"Bachelor";"Teacher";"Master's";"Teacher";"";"";"ND";"43";"ND";"0.98";"22 England";"Scotland";"";"43";"0.98";"";"Female";"State";"State";"English, Scots";"English";"Gaelic";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
