"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"1";"AUS10-001f54";"ND";"2010";"AUS";"54";"f";"Australian";"Anglo.";"ND";"English";"English";"English";"government";"government";"ARAD Royal Academy of Dancing";"Secretary";"Leaving Certificate";"Administration";"Electrical Contractor Certificate";"Electrical Contractor Certificate";"ND";"ND";"ND";"45";"ND";"0.83";"20 Frankfurt, Germany; 21 Kassel, Germany; 23 Berlin, Germany; 29-35 Amsterdam, Netherlands";"Australia";"";"45";"0.83";"";"Female";"State";"State";"English";"English";"English";"Professional/Vocational";"Secondary Education";"Professional/Vocational";"Professional/Vocational";"Professional/Vocational"
"2";"AUS10-002f26";"ND";"2010";"AUS";"26";"f";"Brazilian";"Caucasian";"ND";"Portuguese";"Portuguese";"Portuguese";"government";"government";"Bachelor";"Receptionist";"Primary School";"";"Primary School";"";"ND";"ND";"ND";"5";"ND";"0.19";"0-20 Brazil";"Brazil";"Australia";"20";"0.77";"";"Female";"State";"State";"Portuguese";"Portuguese";"Portuguese";"Higher Education";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"Higher Education"
"3";"AUS10-003f22";"ND";"2010";"AUS";"22";"f";"New Zealand";"European";"ND";"English";"English";"English";"government";"government";"";"Reception";"unknown";"victim support";"unknown";"property developer";"ND";"ND";"ND";"1";"ND";"0.05";"1-19 New Zealand; 20-21 UK";"New Zealand";"";"19";"0.86";"";"Female";"State";"State";"English";"English";"English";"No/Other Qualification";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"No/Other Qualification"
"4";"AUS10-004f59";"ND";"2010";"AUS";"59";"f";"Australian/English";"English";"ND";"English";"English";"English";"government";"government";"Bachelor";"Manager";"3rd year High School";"cook";"3rd year High School";"Gardener";"ND";"ND";"ND";"44";"ND";"0.75";"1-15 UK";"Australia";"England";"44";"0.75";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"5";"AUS10-005f24";"ND";"2010";"AUS";"24";"f";"Australian";"Italian";"ND";"English, Italian";"Italian";"Italian";"government";"government";"Diploma in legal services/certificate in financial services";"Personal assistant";"High School";"Head cashier";"High School";"Fiberglass laminator";"ND";"ND";"ND";"24";"ND";"1.0";"";"Australia";"";"24";"1.0";"";"Female";"State";"State";"English, Italian";"Italian";"Italian";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"6";"AUS10-006f23";"ND";"2010";"AUS";"23";"f";"Australian";"";"ND";"English";"English/Indian";"English";"government";"government";"TAFE courses";"assistant buyer";"nurse";"Aggo Care";"regional manager";"regional manager";"ND";"ND";"ND";"23";"ND";"1.0";"";"Australia";"";"23";"1.0";"";"Female";"State";"State";"English";"English";"English, Indian";"Professional/Vocational";"Higher Education";"Work-Based Learning";"Professional/Vocational";"Professional/Vocational"
"7";"AUS10-007f77";"ND";"2010";"AUS";"77";"f";"Australian";"English";"ND";"English";"English";"English";"government";"governement";"Intermediate Certificate";"Retired";"";"Home duties";"";"Nurseryman";"ND";"ND";"ND";"77";"ND";"1.0";"";"Australia";"";"77";"1.0";"";"Female";"State";"State";"English";"English";"English";"Professional/Vocational";"";"";"Professional/Vocational";"Professional/Vocational"
"8";"AUS10-008f25";"ND";"2010";"AUS";"25";"f";"Dutch";"Australian";"ND";"English, Dutch";"English";"Dutch";"government";"government";"Bachelor";"Sales Representative";"School Certificate";"secretary";"School Certificate";"carpenter";"ND";"ND";"ND";"17";"ND";"0.68";"0-7 Amsterdam, Netherlands;  20 London, England";"Australia";"Netherlands";"17";"0.68";"";"Female";"State";"State";"English, Dutch";"Dutch";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"9";"AUS10-009m66";"ND";"2010";"AUS";"66";"m";"Australian";"German";"ND";"English, German";"German";"German";"government";"government";"Bachelor";"Company Manager/director";"Primary School";"Farmer's wife";"Primary School";"Farmer";"ND";"ND";"ND";"45";"ND";"0.68";"0-21 Germany";"Australia";"Germany";"45";"0.68";"";"Male";"State";"State";"English, German";"German";"German";"Higher Education";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"Higher Education"
"10";"AUS10-010f40";"ND";"2010";"AUS";"40";"f";"Canadian, Australian";"Canadian";"ND";"English";"English";"English";"government";"government";"Bachelor";"Visitor Host, Educational Guide, Museum Guide";"Bachelor";"Teacher";"PhD";"Engineer";"ND";"ND";"ND";"17";"ND";"0.43";"0-23 Montreal, Canada";"Canada";"Australia";"23";"0.58";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"11";"AUS10-011f65";"ND";"2010";"AUS";"65";"f";"Australian";"Russian";"ND";"English, Russian";"Russian";"Russian";"government";"government";"Bachelor";"Teacher Librarian";"Doctorate";"Computer Programmer";"Doctorate";"Computer Programmer";"ND";"ND";"ND";"57";"ND";"0.88";"0-8 China";"Australia";"";"57";"0.88";"";"Female";"State";"State";"English, Russian";"Russian";"Russian";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"12";"AUS10-012m55";"ND";"2010";"AUS";"55";"m";"German";"European";"ND";"German";"German";"German";"government";"";"Apprenticeship";"Sales Manager";"Primary School";"Housewife";"Primary School";"Factory Worker";"ND";"ND";"ND";"36";"ND";"0.65";"0-18 Germany; 23 South America";"Australia";"Germany";"36";"0.65";"";"Male";"State";"";"German";"German";"German";"Work-Based Learning";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"Work-Based Learning"
"13";"AUS10-013f64";"ND";"2010";"AUS";"64";"f";"British";"";"ND";"English";"British";"British";"independent";"independent";"Vocational classes, Pharmaceutical sales";"National A/C MGR Corp Aged Care";"Secondary";"Seamstress";"Secondary";"Mechanic";"ND";"ND";"ND";"64";"ND";"1.0";"";"UK";"";"64";"1.0";"";"Female";"Other";"Private";"English";"English";"English";"Professional/Vocational";"Secondary Education";"Secondary Education";"Professional/Vocational";"Professional/Vocational"
"14";"AUS10-014m22";"ND";"2010";"AUS";"22";"m";"";"";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Student/Waiter";"High school";"Nurse";"High School";"Train driver";"ND";"ND";"ND";"22";"ND";"1.0";"";"Australia";"";"22";"1.0";"";"Male";"Private";"Private";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"15";"AUS10-015f19";"ND";"2010";"AUS";"19";"f";"Australian";"Australian";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"HSC";"Student";"Master's";"Librarian";"Master's";"Human Resource Manager";"ND";"ND";"ND";"13";"ND";"0.68";"6-8 Singapore; 15-16 Shanghai, China; 18 Swedru, Ghana";"Australia";"";"13";"0.68";"";"Female";"State";"Private";"English";"English";"English";"Secondary Education";"Higher Education";"Higher Education";"Professional/Vocational";"Secondary Education"
"16";"AUS10-016m19";"ND";"2010";"AUS";"19";"m";"Australian";"Aussie";"ND";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"High School";"Realter";"High School";"Cafe owner";"ND";"ND";"ND";"19";"ND";"1.0";"";"Australia";"";"19";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"17";"AUS10-017f18";"ND";"2010";"AUS";"18";"f";"Australian";"";"ND";"English";"English";"English";"state-funded";"state-funded";"";"University student";"University degree";"Business owner";"University degree";"Musician";"ND";"ND";"ND";"18";"ND";"1.0";"";"Australia";"";"18";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"18";"AUS10-018f19";"ND";"2010";"AUS";"19";"f";"Australian";"Caucasian";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"HSC";"secretary, swimming teacher";"Master's";"Physio";"Doctor";"Doctor";"ND";"ND";"ND";"19";"ND";"1.0";"";"Australia";"";"19";"1.0";"";"Female";"State";"Private";"English";"English";"English";"Secondary Education";"Higher Education";"Higher Education";"Professional/Vocational";"Secondary Education"
"19";"AUS10-019f22";"ND";"2010";"AUS";"22";"f";"Australian";"Anglo-Saxon";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Student";"O-Levels";"Pre-School Teacher";"Tertiary";"Lecturer";"ND";"ND";"ND";"17";"ND";"0.77";"1-3 UK; 18 Paris, France; 21 Geneva, Switzerland";"Australia";"";"17";"0.77";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
"20";"AUS10-020m18";"ND";"2010";"AUS";"18";"m";"Australian";"";"ND";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"Master's";"Hospital scientist";"Master's";"Architect";"ND";"ND";"ND";"18";"ND";"1.0";"";"Australia";"";"18";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"21";"AUS10-021f20";"ND";"2010";"AUS";"20";"f";"Australian";"";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Student";"Master's";"Teacher";"";"Strata Manager";"ND";"ND";"ND";"17";"ND";"0.85";"1-3 Bradwell, England";"Australia";"";"17";"0.85";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Higher Education";"";"Professional/Vocational";"Higher Education"
"22";"AUS10-022f22";"ND";"2010";"AUS";"22";"f";"Australian";"Australian";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Student";"Master's";"Principal";"Bachelor";"Engineer";"ND";"ND";"ND";"19";"ND";"0.86";"Lived in Tonga for 3 years";"Australia";"";"19";"0.86";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"23";"AUS10-023f19";"ND";"2010";"AUS";"19";"f";"Australian";"Australian";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Student";"Year Ten";"";"Bachelor";"Engineer";"ND";"ND";"ND";"19";"ND";"1.0";"";"Australia";"";"19";"1.0";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
"24";"AUS10-024f21";"ND";"2010";"AUS";"21";"f";"Australian";"Australian";"ND";"English";"Romanian";"";"private/fee-paying";"state-funded";"Bachelor";"";"";"";"";"";"ND";"ND";"ND";"21";"ND";"1.0";"";"Australia";"";"21";"1.0";"";"Female";"Private";"State";"English";"";"Romanian";"Higher Education";"";"";"Professional/Vocational";"Higher Education"
"25";"AUS10-025f18";"ND";"2010";"AUS";"18";"f";"Australian";"";"ND";"English, Greek";"Greek";"Greek";"private/fee-paying";"private/fee-paying";"HSC";"Student";"Bachelor";"CFO";"Bachelor";"CEO";"ND";"ND";"ND";"17";"ND";"0.94";"8 Greece";"Australia";"";"17";"0.94";"";"Female";"Private";"Private";"English, Greek";"Greek";"Greek";"Secondary Education";"Higher Education";"Higher Education";"Professional/Vocational";"Secondary Education"
"26";"AUS10-026f18";"ND";"2010";"AUS";"18";"f";"Australian";"Australian";"ND";"English";"English";"English, German";"private/fee-paying";"private/fee-paying";"Bachelor";"Student";"Bachelor";"Student";"High school";"Entrepreneur";"ND";"ND";"ND";"15";"ND";"0.83";"2-4 Bangkok";"Australia";"";"15";"0.83";"";"Female";"Private";"Private";"English";"English, German";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"27";"AUS10-027f19";"ND";"2010";"AUS";"19";"f";"Australian";"Australian";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Student";"Master's";"Lawyer";"Master's";"Barrister";"ND";"ND";"ND";"19";"ND";"1.0";"";"Australia";"";"19";"1.0";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"28";"AUS10-028m22";"ND";"2010";"AUS";"22";"m";"Australian / American";"Anglo";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"";"Diploma of Education";"Teacher";"Master's";"Investments";"ND";"ND";"ND";"17";"ND";"0.77";"0-2 San Francisco; 7-9 San Francisco";"Australia";"";"17";"0.77";"";"Male";"State";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"29";"AUS10-029f18";"ND";"2010";"AUS";"18";"f";"Australian";"Australian";"ND";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"University";"Teacher";"High School";"Bus driver";"ND";"ND";"ND";"18";"ND";"1.0";"";"Australia";"";"18";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"30";"AUS10-030f20";"ND";"2010";"AUS";"20";"f";"Australian";"Caucasian, Australian";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Student";"Bachelor";"Physiotherapist";"High School";"Director of Business";"ND";"ND";"ND";"19";"ND";"0.95";"18 Indonesia, Bali";"Australia";"";"19";"0.95";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"31";"AUS10-031f20";"ND";"2010";"AUS";"20";"f";"Australian";"Caucasian, Australian";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Assistant in Nursing";"Speech Pathology";"Publicist";"Project manager";"Electrician";"ND";"ND";"ND";"20";"ND";"1.0";"";"Australia";"";"20";"1.0";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"32";"AUS10-032NA28";"ND";"2010";"AUS";"28";"";"Australian";"";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Journalist";"";"Yoga teacher";"Diploma";"Horticulturalist";"ND";"ND";"ND";"25";"ND";"0.89";"4 New Zealand; 23 Canada; 25 Laos";"Australia";"";"25";"0.89";"";"";"Private";"Private";"English";"English";"English";"Higher Education";"";"Higher Education";"Professional/Vocational";"Higher Education"
"33";"AUS10-033m22";"ND";"2010";"AUS";"22";"m";"Australian";"Caucasian";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Bartender, Student";"Registered Nurse";"Secretary";"Psychiatrist";"General Practitioner";"ND";"ND";"ND";"22";"ND";"1.0";"";"Australia";"";"22";"1.0";"";"Male";"State";"Private";"English";"English";"English";"Higher Education";"Professional/Vocational";"Higher Education";"Professional/Vocational";"Higher Education"
"34";"AUS10-034m25";"ND";"2010";"AUS";"25";"m";"Aussie";"";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Business owner";"Secondary school";"Business owner";"Secondary school";"Business owner";"ND";"ND";"ND";"25";"ND";"1.0";"";"Australia";"";"25";"1.0";"";"Male";"Private";"Private";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"35";"AUS10-035m26";"ND";"2010";"AUS";"26";"m";"Australian";"";"ND";"English";"English";"English";"state-funded, private/fee-paying";"state-funded, private/fee-paying";"Bachelor";"Business owner";"High School";"";"Bachelor";"Accountant";"ND";"ND";"ND";"26";"ND";"1.0";"";"Australia";"";"26";"1.0";"";"Male";"Mixed";"Mixed";"English";"English";"English";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
"36";"AUS10-036f19";"ND";"2010";"AUS";"19";"f";"Australian";"Australian";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Student";"Cadetship";"Journalist";"Bachelor";"Public servant";"ND";"ND";"ND";"19";"ND";"1.0";"";"Australia";"";"19";"1.0";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Work-Based Learning";"Higher Education";"Professional/Vocational";"Higher Education"
"37";"AUS10-037f25";"ND";"2010";"AUS";"25";"f";"Australian";"";"ND";"English";"English";"English";"private/fee-paying";"state-funded";"Bachelor";"Finance, Strategy Assistant";"University";"After Hours Coordinator";"University";"Solicitor";"ND";"ND";"ND";"25";"ND";"1.0";"";"Australia";"";"25";"1.0";"";"Female";"Private";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"38";"AUS10-038m22";"ND";"2010";"AUS";"22";"m";"Australian";"Australian";"ND";"English";"English";"English";"state-funded, private/ fee-paying";"private/fee-paying";"Bachelor";"Student/ Accountant";"Bachelor degree";"Physiotherapist";"HSC";"Small business proprieter";"ND";"ND";"ND";"22";"ND";"1.0";"";"Australia";"";"22";"1.0";"";"Male";"Mixed";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"39";"AUS10-039f44";"ND";"2010";"AUS";"44";"f";"Australian";"Argentinian";"ND";"Spanish";"Spanish";"Spanish";"state-funded";"state-funded";"";"Spanish Teacher, Art student";"";"Restaurantor";"";"Restaurantor";"ND";"ND";"ND";"35";"ND";"0.8";"0-3 Argentina; 7-9 Argentina; 16-17 Argentina";"Australia";"";"35";"0.8";"";"Female";"State";"State";"Spanish";"Spanish";"Spanish";"Higher Education";"";"";"Professional/Vocational";"Higher Education"
"40";"AUS10-040f65";"ND";"2010";"AUS";"65";"f";"Australian";"Swedish";"ND";"Swedish";"Swedish";"Swedish";"state-funded";"state-funded";"";"Retired";"Teacher";"";"Taylor";"";"ND";"ND";"ND";"";"ND";"";"";"Sweden";"Australia";"";"";"";"Female";"State";"State";"Swedish";"Swedish";"Swedish";"No/Other Qualification";"Higher Education";"No/Other Qualification";"Professional/Vocational";"No/Other Qualification"
"41";"AUS10-041f53";"ND";"2010";"AUS";"53";"f";"Australian";"Australian";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Physiotherapist";"";"Secretary";"Accountant";"Accountant";"ND";"ND";"ND";"53";"ND";"1.0";"";"Australia";"";"53";"1.0";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"";"Professional/Vocational";"Professional/Vocational";"Higher Education"
"42";"AUS10-042m78";"ND";"2010";"AUS";"78";"m";"Australian";"";"ND";"English";"English";"Swedish";"";"";"";"";"";"";"";"";"ND";"ND";"ND";"78";"ND";"1.0";"";"Australia";"";"78";"1.0";"";"Male";"";"";"English";"Swedish";"English";"";"";"";"Professional/Vocational";""
"43";"AUS10-043f69";"ND";"2010";"AUS";"69";"f";"Australian";"";"ND";"English";"English";"English";"";"";"";"";"";"";"";"";"ND";"ND";"ND";"69";"ND";"1.0";"";"Australia";"";"69";"1.0";"";"Female";"";"";"English";"English";"English";"";"";"";"Professional/Vocational";""
"44";"AUS10-044m20";"ND";"2010";"AUS";"20";"m";"Australian";"";"ND";"English";"English";"English";"private/fee-paying";"state-funded, private/fee-paying";"Vocational classes, Bachelor of visual Arts (grade 12 graduate)";"Student";"Grade 11";"Special needs teacher";"Grade 12";"Telecommunications";"ND";"ND";"ND";"20";"ND";"1.0";"";"Australia";"";"20";"1.0";"";"Male";"Private";"Mixed";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"45";"AUS10-045f21";"ND";"2010";"AUS";"21";"f";"Australian";"";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor - Primary School teaching";"";"Bachelor";"Doctor";"Bachelor";"Doctor";"ND";"ND";"ND";"21";"ND";"1.0";"";"Australia";"";"21";"1.0";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"46";"AUS10-046f21";"ND";"2010";"AUS";"21";"f";"Australian";"";"ND";"";"";"";"";"";"";"";"";"";"";"";"ND";"ND";"ND";"";"ND";"";"";"UNCLEAR";"";"";"0.0";"";"Female";"";"";"";"";"";"";"";"";"Professional/Vocational";""
"47";"AUS10-047m30";"ND";"2010";"AUS";"30";"m";"Australian";"";"ND";"English";"English";"English";"";"";"";"";"";"";"";"";"ND";"ND";"ND";"27";"ND";"0.9";"21-23 Great Britain";"Australia";"";"27";"0.9";"";"Male";"";"";"English";"English";"English";"";"";"";"Professional/Vocational";""
"48";"AUS10-048f20";"ND";"2010";"AUS";"20";"f";"Australian";"";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Student";"Masters";"Lawyer";"PhD";"Geologist";"ND";"ND";"ND";"20";"ND";"1.0";"";"Australia";"";"20";"1.0";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"49";"AUS10-049f21";"ND";"2010";"AUS";"21";"f";"Australian";"";"ND";"English";"English";"English";"state-funded";"private/fee-paying";"Bachelor";"Student";"Nurse";"Health Visitor";"Teacher";"Teacher";"ND";"ND";"ND";"1";"ND";"0.05";"0 Geneva, Switzerland; 1-17 Yorkshire, England; 18-19 Edinburgh, Scotland; 21 Yorkshire, England";"England";"";"19";"0.9";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Professional/Vocational";"Higher Education";"Professional/Vocational";"Higher Education"
"50";"AUS10-050f21";"ND";"2010";"AUS";"21";"f";"English";"Caucasian";"ND";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"A-levels";"furniture dealer";"O-levels";"train trader";"ND";"ND";"ND";"1";"ND";"0.05";"0-20 England";"England";"";"20";"0.95";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"51";"AUS10-051f19";"ND";"2010";"AUS";"19";"f";"Australian";"";"ND";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Bachelor";"Student";"";"interior designer";"PhD in laws";"lawyer";"ND";"ND";"ND";"19";"ND";"1.0";"";"Australia";"";"19";"1.0";"";"Female";"Private";"Private";"English";"English";"English";"Higher Education";"";"Higher Education";"Professional/Vocational";"Higher Education"
"52";"AUS18-001f59";"ND";"2010";"AUS";"59";"f";"Australian";"Anglo-Saxon";"Australia";"English";"English";"English";"public";"private";"Masters";"Writer";"Bachelor (of Science)";"Geologist/Teacher";"Bachelor (Communication)";"Public Servant";"Bachelor";"Accountant";"0";"59";"ND";"1.0";"0-59 Australia";"Australia";"";"59";"1.0";"";"Female";"State";"Private";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Higher Education";"Higher Education"
"53";"AUS18-002f60";"ND";"2010";"AUS";"60";"f";"Australian";"Australian-Latvian";"Australia";"English / Latvian";"Latvian";"Latvian";"private";"private";"Bachelor";"Project Manager (Education)";"High School";"Bookkeeper";"High School";"Insurance Company Manager";"High School";"Human Resources Manager";"0";"60";"ND";"1.0";"0-60 Australia";"Australia";"";"60";"1.0";"";"Female";"Private";"Private";"English, Latvian";"Latvian";"Latvian";"Higher Education";"Secondary Education";"Secondary Education";"Secondary Education";"Higher Education"
"54";"AUS18-003m62";"ND";"2010";"AUS";"62";"m";"Australian";"";"Australia";"English";"English";"English";"public";"public";"Licenced Aircraft Engineer";"Aviation";"";"";"";"Farmer";"Master's";"Medicine";"0";"62";"ND";"1.0";"0-21 Sydney (Australia); 22-55  Northern Territory (Australia); 56-62 Queensland (Australia)";"Australia";"";"62";"1.0";"";"Male";"State";"State";"English";"English";"English";"Professional/Vocational";"";"";"Higher Education";"Professional/Vocational"
"55";"AUS18-004f68";"ND";"2010";"AUS";"68";"f";"Australian";"Australian";"Australia";"English";"English";"English";"public";"";"Masters";"Nurse (retired)";"High School";"Administration";"High School";"Manager (sheet metal trade)";"Licence (as Aircraft Engineer)";"Aircraft Engineer";"0";"68";"ND";"1.0";"0-68 Australia";"Australia";"";"68";"1.0";"";"Female";"State";"";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"56";"AUS18-005m69";"ND";"2010";"AUS";"69";"m";"Australian";"Australian";"Australia";"English";"English";"English";"public";"public";"Advanced Diploma";"Retired";"Elementary";"Housewife";"Elementary";"Tile Manufacturer";"High School";"Bookkeeper";"0";"69";"ND";"1.0";"0-11 Narrung (South Australia); 12-16 Adelaide (South Australia); 17-55 Australia; 56-69 Townsville (Queensland Australia)";"Australia";"";"69";"1.0";"";"Male";"State";"State";"English";"English";"English";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education"
"57";"AUS18-006f72";"ND";"2010";"AUS";"72";"f";"Australian";"";"Australia";"English";"English";"English";"private";"private";"Nursing Degree";"Retired";"Nursing";"";"Doctor";"GP";"Management Diploma";"";"3";"69";"ND";"0.96";"0-16 Warwick (Queensland Australia); 17-21 Brisbane (Australia); 22-24 London (England); 25-72 Sydney (New South Wales Australia)";"Australia";"";"69";"0.96";"";"Female";"Private";"Private";"English";"English";"English";"Professional/Vocational";"Professional/Vocational";"Higher Education";"Higher Education";"Professional/Vocational"
"58";"AUS18-007m68";"ND";"2010";"AUS";"68";"m";"Australian";"Caucasian";"New South Wales / Australia";"English";"English";"English";"public";"public";"Masters";"Retired (Police)";"High School";"Housewife";"Primary School";"Police";"High School";"Nurse";"0";"68";"ND";"1.0";"0-2 Darlinghurst; 3-22 Turramurra; 23-68 Northern Beaches (Sydney)";"Australia";"";"68";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"No/Other Qualification";"Secondary Education";"Higher Education"
"59";"CA15-001f21";"ND";"2015";"CA";"21";"f";"Canadian";"Chinese";"Canada";"English, Cantonese";"Cantonese";"Cantonese";"state";"state";"Bachelor";"student";"MD";"family doctor";"Bachelor";"electrical engineer";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"Female";"State";"State";"English, Cantonese";"Cantonese";"Cantonese";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"60";"CA15-002m21";"ND";"2015";"CA";"21";"m";"Canadian";"";"Canada";"English";"English";"English";"church";"church";"Bachelor";"student, part-time server, manager at meat vendor";"College";"retirement home helper";"University";"banker";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"Male";"Church";"Church";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"61";"CA15-003m19";"ND";"2015";"CA";"19";"m";"Canadian";"Indian";"";"mostly English, some French";"French";"English";"private";"private";"Bachelor";"";"Unversity degree";"teacher";"";"entrepeneur";"ND";"ND";"ND";"19";"ND";"1.0";"";"Canada";"";"19";"1.0";"";"Male";"Private";"Private";"English, French";"English";"French";"Higher Education";"Higher Education";"";"Professional/Vocational";"Higher Education"
"62";"CA15-004m24";"ND";"2015";"CA";"24";"m";"Canadian";"White";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"High School";"";"Bachelor";"";"ND";"ND";"ND";"24";"ND";"1.0";"";"Canada";"";"24";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
