Original_Qualification,Mapped_Category
Hochschulstudium,Higher Education
Honour's,Higher Education
Honours,Higher Education
Honours Degree,Higher Education
Honours degree,Higher Education
Hotel manager,No/Other Qualification
Housewife,No/Other Qualification
Höhere Handelsschule,Work-Based Learning
IATA tourism studies diploma,Professional/Vocational
IHK Technician,Professional/Vocational
ILAM Diploma,Professional/Vocational
IT,Work-Based Learning
IT High School,Secondary Education
ITEC Diploma,Professional/Vocational
ITI,Professional/Vocational
ITS,Professional/Vocational
Ingeneur,Professional/Vocational
Ingenieur of Ariculture,Professional/Vocational
Inst. Analysts + Programmers,Professional/Vocational
Institute (college),No/Other Qualification
Insurer,Professional/Vocational
Inter cert,Professional/Vocational
Intermediate,Professional/Vocational
Intermediate Certificate,Professional/Vocational
International Relations,No/Other Qualification
Iranian A-levels,Secondary Education
Itec Diploma,Professional/Vocational
J.D. (Juris Doctor),Higher Education
JB,No/Other Qualification
Joiner apprenticeship,Work-Based Learning
Jornalist /  Photographer,Professional/Vocational
Journalist,Professional/Vocational
Junior Certificate,Secondary Education
Junior College (Languages),Professional/Vocational
Junior High,Secondary Education
Junior High School,Secondary Education
Junior certificate,Secondary Education
Junior college,Professional/Vocational
Junior school,Secondary Education
Juris Doctor,Higher Education
Juris Doctorate,Higher Education
Justizfachwirtin,Work-Based Learning
Kaufmann,Work-Based Learning
Kindergarden Preschool Teacher,Work-Based Learning
Kumvux,Secondary Education
L.L.B.,Higher Education
LA MS,Higher Education
LCTL ATCL (B. Ed. equivalent),Higher Education
LLB,Higher Education
LLB (Law),Higher Education
LLD,Higher Education
LSE,Higher Education
LSe,Higher Education
LTH,Professional/Vocational
Languages,No/Other Qualification
Law,No/Other Qualification
Law Degree,Higher Education
Law Degree/Bar,Higher Education
Law School,Higher Education
Law Society Exams,Higher Education
Law certificate,Professional/Vocational
Law degree,Higher Education
Law qualifications,Higher Education
Law society examinations,Higher Education
Lawyer,Higher Education
Lcb,No/Other Qualification
Leaving Cert,Secondary Education
Leaving Certificate,Secondary Education
Leaving cert,Secondary Education
Leaving certificate,Secondary Education
Legal exams,Higher Education
Lehramt,Higher Education
Lehramt German/English,Higher Education
Lehramt Gymnasium,Higher Education
Lehre,Higher Education
Level 3 EDI Business Administration,Professional/Vocational
Level 4,Professional/Vocational
Level 6,Professional/Vocational
Level 7 degree,Higher Education
Licence (as Aircraft Engineer),Professional/Vocational
Licenced Aircraft Engineer,Professional/Vocational
Lieutenant,Professional/Vocational
Lyr College,Higher Education
M.A.,Higher Education
M.A. History,Higher Education
"M.A., B.Ed.",Higher Education
M.Com,Higher Education
M.Com.,Higher Education
"M.Com., B.Ed.",Higher Education
M.D,Higher Education
M.D.,Higher Education
M.D. (ongoing),Higher Education
M.F.C (M.B.A.),Higher Education
M.S. Math,Higher Education
MA,Higher Education
MA (HONS),Higher Education
MA (camb.)/PGCE,Higher Education
MA Business Administration,Higher Education
MA Degree,Higher Education
MA/Lehramt,Higher Education
MATSEC certificate,Professional/Vocational
MAster of Science,Higher Education
MBA,Higher Education
MBBS,Higher Education
MBCHB,Higher Education
MBChB,Higher Education
MBE,Higher Education
MCAST,Professional/Vocational
MD,Higher Education
MD with specialisation,Higher Education
MD. PhD,Higher Education
MDES,Higher Education
MED,Higher Education
MEng,Higher Education
MFA (Medizinishce Fachangestellte),Work-Based Learning
MI,No/Other Qualification
MKP,No/Other Qualification
MLF level 4,Professional/Vocational
MQF level 5,Professional/Vocational
MQF level 7,Professional/Vocational
MSc,Higher Education
Machine Operator,Work-Based Learning
Magister,Higher Education
Magistrate,Higher Education
"Malta College of Arts, Science and Technology",Higher Education
Management,No/Other Qualification
Management Diploma,Higher Education
Manager,Work-Based Learning
Manager in Gambing Industry,No/Other Qualification
Marine Engineer,Professional/Vocational
Marine engineer,Professional/Vocational
Maritime,No/Other Qualification
Marketing and economics,No/Other Qualification
Marketing degree,Higher Education
Maskinmester,Professional/Vocational
Master,Higher Education
Master (English),Higher Education
Master (IT),Higher Education
Master (Vocational classes Functional English),Higher Education
Master (optic),Higher Education
Master + Ph.D.,Higher Education
Master Craftsman,Professional/Vocational
Master Degree,Higher Education
Master Informatik,Higher Education
Master Mariner,Professional/Vocational
Master Ph.D.,Higher Education
Master degree,Higher Education
Master in Engineering,Higher Education
Master of ?,Higher Education
Master of Economics,Higher Education
Master of Engineering,Higher Education
Master'S,Higher Education
Master's,Higher Education
Master's (?),Higher Education
Master's (Business&Admin),Higher Education
Master's (economy),Higher Education
Master's (ongoing),Higher Education
Master's Degree,Higher Education
Master's Student,Higher Education
Master's degree,Higher Education
"Master's, PhD (1st year PhD)",Higher Education
"Master's, PhD (P. G. C. Education - Modern Languages Teaching)",Higher Education
Master's; Work training,Higher Education
"Master, PGCE Teaching Certificate",Higher Education
Masters,Higher Education
Masters (Engineering),Higher Education
Masters (Journalism),Higher Education
Masters (Vocational Classes: Marketing),Higher Education
Masters Spanish,Higher Education
Masters degree,Higher Education
Mater,Higher Education
Mater's,Higher Education
Matric,Professional/Vocational
Matriculation,Higher Education
Matriculation Certificate,Higher Education
"Matriculation Certificate, O-Levels",Higher Education
Maturità (Italian qualififcation),Secondary Education
Maurer Ausbildung,Work-Based Learning
Mechanic,Work-Based Learning
Mechanical Engineer,Higher Education
Mechanical engineer,Higher Education
Mechanical engineering degree,Higher Education
Medhjaelpend Hustru,No/Other Qualification
Medical Brand Manager,Work-Based Learning
Medical Degree,Higher Education
Medical Doctor,Higher Education
Medical Doctor Degree,Higher Education
Medical M.D.,Higher Education
Medical School,Higher Education
Medical Secretary,Professional/Vocational
Medical assistant,Higher Education
Medical degree,Higher Education
Medical doctor,Higher Education
Medical doctor (physician),Higher Education
Medical school,Higher Education
Medicine,Higher Education
Medicine Degree,Higher Education
Medicine School,Higher Education
Medicine degree,Higher Education
Medizin-Studium,Higher Education
Meister,Professional/Vocational
Meister Elektrotechnik,Professional/Vocational
Mid school,Secondary Education
Middle School,No/Other Qualification
Middle school,No/Other Qualification
Middleschool,No/Other Qualification
Midwife,Professional/Vocational
Military Navy & Army,Professional/Vocational
Military School,Secondary Education
Military school,Secondary Education
Military training,Work-Based Learning
Mitlere Reife,Secondary Education
Mittelschulabschlus,Secondary Education
Mittelschulabschluss,Secondary Education
Mittlere  Reife,Secondary Education
Mittlere Reife,Secondary Education
"Mittlere Reife, Ausbildung",Work-Based Learning
Mittlere reife/ Vocational training,Professional/Vocational
Motor Mechanic,Work-Based Learning
NCVA level 2,Secondary Education
ND,Professional/Vocational
NDE,Professional/Vocational
NNEB,Professional/Vocational
NVQ,Professional/Vocational
NVQ 3,Professional/Vocational
NVQ 4,Professional/Vocational
NVQ Level 2,Professional/Vocational
NVQ Level 3,Professional/Vocational
NVQ Science,Professional/Vocational
NVQ substance misuse,Professional/Vocational
Nanny,No/Other Qualification
National 5,Secondary Education
National Vocational Qualification,Professional/Vocational
Naval college,Professional/Vocational
Neonatal course,Professional/Vocational
Never went to school,No/Other Qualification
Nil,No/Other Qualification
Nine GCSEs,Secondary Education
No education,No/Other Qualification
No qualification,No/Other Qualification
Normal qualification,Secondary Education
Nothing,No/Other Qualification
Nurse,Professional/Vocational
Nurse training,Work-Based Learning
Nurse's Assistant,Work-Based Learning
Nursery school,Professional/Vocational
Nursing,Professional/Vocational
Nursing Bachelor,Professional/Vocational
Nursing Degree,Professional/Vocational
Nursing Diploma,Professional/Vocational
Nursing Malmö Praktiska Gymnasium,Professional/Vocational
Nursing Qualifications,Professional/Vocational
Nursing School,Professional/Vocational
Nursing Vocational,Professional/Vocational
Nursing degree,Professional/Vocational
Nursing diploma,Professional/Vocational
Nursing school,Professional/Vocational
"Nursing, midwifing qualifications",Professional/Vocational
O Grades,Secondary Education
O Level,Secondary Education
O Levels,Secondary Education
O levels,Secondary Education
"O&A-levels, currently studying workbased qualification",Work-Based Learning
O'  Levels,Secondary Education
O'Level,Secondary Education
O'Levels,Secondary Education
O'Levels but stopped after a year,Secondary Education
O'level,Secondary Education
O'levels,Secondary Education
O-/A-Levels,Secondary Education
O-Grade,Secondary Education
O-Grades,Secondary Education
O-Level,Secondary Education
O-Levels,Secondary Education
"O-Levels (English, B)",Secondary Education
"O-Levels (Maths, C)",Secondary Education
"O-Levels, CSE's",Secondary Education
"O-Levels, NVQ 3",Professional/Vocational
"O-Levels, Other (HNC)",Professional/Vocational
"O-Levels, Vocational classes (Craft, interior design, jewellry)",Professional/Vocational
"O-Levels, Vocational classes, Work training (banking exams)",Professional/Vocational
"O-Levels, one A-Level",Secondary Education
O-Levels/HND,Professional/Vocational
O-level,Secondary Education
O-levels,Secondary Education
"O-levels, ECDL",Secondary Education
Oberschule/Abitur?,Secondary Education
Oberschulreife,Secondary Education
Office,No/Other Qualification
Office work,No/Other Qualification
Office worker,No/Other Qualification
Officer,No/Other Qualification
Official Education,No/Other Qualification
Ombudsman,Professional/Vocational
Ongoing BA,Higher Education
Ongoing Bachelor,Higher Education
Ongoing bachelor's degree,Higher Education
Online diploma,No/Other Qualification
Open Uni Degree,Higher Education
Optician,Work-Based Learning
Ordinary,Secondary Education
Ordinary level,Secondary Education
Ordinary Levels,Secondary Education
Ordinary level,Secondary Education
Other,No/Other Qualification
Other (11th and Plus),Secondary Education
Other (Associate Degree),Higher Education
Other (Business study course),Higher Education
Other (Childcare),Work-Based Learning
Other (Civil Engineer),Higher Education
Other (College (Travel & Tourism BTEC)),Professional/Vocational
Other (Dance teacher),No/Other Qualification
Other (Diploma),Secondary Education
"Other (Diploma, Associate's Degree)",Higher Education
Other (Gemmologist and professional jeweller),Professional/Vocational
Other (HND),Professional/Vocational
Other (Higher National Diploma),Professional/Vocational
Other (Honours),Higher Education
Other (Law Degree),Higher Education
Other (Laws),Higher Education
Other (MBChB),Higher Education
Other (MbChB),Higher Education
Other (National 5),Secondary Education
Other (Professional qualification),Professional/Vocational
Other (RSA English Literature),Professional/Vocational
Other (School certificate),Secondary Education
Other (Secretary),No/Other Qualification
Other (Shopworker),No/Other Qualification
Other (Trust exams),No/Other Qualification
Other (U.S. Navy),Work-Based Learning
Other (medical postgraduate exams),Higher Education
"Other (self taught, classes at Christie's, Toastmasters School)",Higher Education
Other (tradesman),Secondary Education
Other: College,Higher Education
PAD,No/Other Qualification
PD (prof.),Higher Education
PGCE,Higher Education
PGCE Secondary Teacher,Higher Education
"PGCE in English, Italian, Psychology",Higher Education
PGCE secondary history,Higher Education
PHD,Higher Education
PHD (pending),Higher Education
PS,Professional/Vocational
Pager-printer,No/Other Qualification
Paparazzi,No/Other Qualification
Paramedic Degree,Higher Education
Ph.D,Higher Education
PhD,Higher Education
"PhD (Psychology, Sociology, Law)",Higher Education
PhD (general medicine),Higher Education
PhD Bio-Chemistry,Higher Education
PhD Education,Higher Education
PhD in laws,Higher Education
"PhD, MD",Higher Education
PhD/M.D.,Higher Education
PhD; M.D,Higher Education
PharmD,Higher Education
Pharmacist,Higher Education
Pharmacy,Higher Education
Pharmacy Degree,Higher Education
Phd,Higher Education
Phil.,Higher Education
Photographer,Work-Based Learning
Physical Therapist,Work-Based Learning
Physics,Higher Education
Physiotherapy,Work-Based Learning
Plastering,Work-Based Learning
Plumbing qualifications,Work-Based Learning
Police,Work-Based Learning
Police Academy,Work-Based Learning
Policeman,Work-Based Learning
Post Grad,Higher Education
Post Graduate,Higher Education
Post Graduate in Education,Higher Education
Post Secondary,Secondary Education
Post graduate,Higher Education
Post graduate diploma,Higher Education
Post office,No/Other Qualification
Post secondary,Secondary Education
Post-Secondary,Secondary Education
Post-Secondary Level,Secondary Education
Post- Secondary,Secondary Education
Post-Grad Diploma,Higher Education
Post-Graduate,Higher Education
Post-Graduation,Higher Education
Post-Secondary,Secondary Education
Post-graduate,Higher Education
Post-secondary,Secondary Education
Post-secondary education,Secondary Education
Postgraduate Certificate in Education,Higher Education
Postgraduate Diploma,Higher Education
Postgraduate diploma,Higher Education
Postgraduation,Higher Education
Pre GCSEs,Secondary Education
Pre-school teacher,Higher Education
Primary,No/Other Qualification
primary level,No/Other Qualification
Primary School,No/Other Qualification
Primary school,No/Other Qualification
Printing,No/Other Qualification
Process Engineer,Higher Education
Product developer,No/Other Qualification
Professional Cert.,Professional/Vocational
Professional Electrician Engineer,Professional/Vocational
Professional Qualification,Professional/Vocational
Professional School,Professional/Vocational
Professional qualification,Professional/Vocational
Professor,Higher Education
Professorship,Higher Education
Programmator CIT,Higher Education
Programmer,No/Other Qualification
Project manager,Higher Education
PsyD,Higher Education
Psychiatrist,Higher Education
Psychologist,Higher Education
Public accounting qual,Professional/Vocational
Public health,No/Other Qualification
Public relations,No/Other Qualification
Pupil,No/Other Qualification
Quali,Secondary Education
Quali Fremdsprachenkauffrau,Work-Based Learning
Quali Industriemeister,Work-Based Learning
Qualified Glazier,Professional/Vocational
Qualified Nurse,Professional/Vocational
Qualified Teacher,Professional/Vocational
Qualifizierender Hauptschulabschluss,Secondary Education
Qualifizierender Mittelschulabschluss,Secondary Education
Qualifizierter Abschluss,Secondary Education
Qualifizierter Hauptschulabschluss,Secondary Education
Qualli,Secondary Education
Quit School,No/Other Qualification
R.I.C.S.,Professional/Vocational
RGN Dip. Health Science,Higher Education
RN (registered nurse?),Secondary Education
RSA II,Professional/Vocational
Radio coordinator,No/Other Qualification
Realschulabschluss,Secondary Education
Realschule,Secondary Education
Realschule/Mittlere Reife,Secondary Education
Rechtsfachwirtin,Work-Based Learning
Referee,No/Other Qualification
Regelschulabschluss,Secondary Education
Registered Dietitian,Professional/Vocational
Registered General Nurse - Diploma in Health Care Studies,Higher Education
Registered Nurse,Professional/Vocational
Registered Nursing Diploma,Professional/Vocational
"Registered fever nurse, registered general nurse, midwife",Professional/Vocational
Registered nurse,Professional/Vocational
Retired,No/Other Qualification
S 2nd,Secondary Education
S.R.N,Higher Education
SA Germanistic / Anglistic,Higher Education
SVQ,Professional/Vocational
Sales,Work-Based Learning
Salesman,Work-Based Learning
School,Secondary Education
School (secondary),Secondary Education
School Certificate,Secondary Education
School Degree,Secondary Education
School Leaving Certificate,Secondary Education
School Level,Secondary Education
School certificate,Secondary Education
School dropout (8th grade),No/Other Qualification
School for Dentists,Professional/Vocational
School leaving,No/Other Qualification
School leaving certificate,Secondary Education
School leaving certificate ?,Secondary Education
School of architecture,Higher Education
Schooling,Secondary Education
Schreinermeister,Professional/Vocational
Science Degree,Higher Education
Scottish Certificate,Secondary Education
Scottish Higher,Secondary Education
Scottish O-Level,Secondary Education
Scottish O-Levels,Secondary Education
Scottish Vocational Qualifications,Professional/Vocational
Seamstress(?) Certificate,Professional/Vocational
Seconadry,Secondary Education
Secondary,Secondary Education
Secondary Level,Secondary Education
Secondary School,Secondary Education
Secondary School not finished,No/Other Qualification
Secondary Education,Secondary Education
Secondary Leaving Certificate,Secondary Education
Secondary Level,Secondary Education
Secondary Qualification,Secondary Education
Secondary School,Secondary Education
Secondary School Highers,Secondary Education
Secondary School Level,Secondary Education
Secondary Shool,Secondary Education
Secondary education,Secondary Education
Secondary school,Secondary Education
Secondary vocational,Professional/Vocational
Secondary-school diploma,Secondary Education
Secretarial,Professional/Vocational
Secretarial Certification,Professional/Vocational
Secretarial School,Higher Education
Secretarial diploma,Higher Education
Secretarial school,Higher Education
Secretarian,No/Other Qualification
Secretary,No/Other Qualification
Secretary School,Higher Education
Secretary qualifications,Professional/Vocational
Secreterial Course,Professional/Vocational
Security,No/Other Qualification
Senior Transactional Officer,No/Other Qualification
Senior clerk,Professional/Vocational
Sexondary,Secondary Education
Shipyard,No/Other Qualification
Shop Owner,No/Other Qualification
Shop assistant,No/Other Qualification
Short hand typing,No/Other Qualification
Sir Luigi Preciosi Pembecke,No/Other Qualification
Sixth Form,Secondary Education
"Sixth Form, Post-secondary education",Secondary Education
Sixth form,Secondary Education
Sixth form advanced level,Secondary Education
Sixth form at University,Higher Education
Slovenian matura,Secondary Education
Social Worker,No/Other Qualification
Society,No/Other Qualification
Socionom,No/Other Qualification
Soldier,Work-Based Learning
Some college,Higher Education
Something like ABitur in Russia,Secondary Education
Sosu,Higher Education
Specialiserad Sjuksköterska,Higher Education
Speech Pathology,Higher Education
Speech Therapist,Higher Education
Squadron RAF,Work-Based Learning
Staatlich geprüfter Übersetzer,Professional/Vocational
Staatsexamen,Higher Education
Staatsexamen Lehramt,Higher Education
"Staatsexamen, Masters",Higher Education
Staff Nurse,Higher Education
Standard Grade,Secondary Education
Standard grade,Secondary Education
Standard grades,Secondary Education
Started Uni,Higher Education
State School,Secondary Education
State enrolled nursing,Professional/Vocational
State registered nurse,Professional/Vocational
Student,Higher Education
Studium,Higher Education
Studium Lehramt Gym English and German,Higher Education
Stukkateur-Meister,Professional/Vocational
Surgical Assistant Course,Higher Education
Surveying degree,Higher Education
Swansea Certificate,Professional/Vocational
TAFE courses,Professional/Vocational
Taylor,No/Other Qualification
Teacher,Higher Education
Teacher (Secondary School),Higher Education
Teacher Secondary School,Higher Education
Teacher Training,Higher Education
Teacher in music,Higher Education
Teacher training,Higher Education
Teacher's Degree (Staatsexamen),Higher Education
Teacher's Programme,Higher Education
Teacher's Training College,Higher Education
Teachers Degree,Higher Education
Teaching Certificate,Higher Education
Teaching Diploma,Higher Education
Teaching Qualification,Higher Education
Teaching degree,Higher Education
Teaching degree (Gym.),Higher Education
Tech School,Professional/Vocational
Technical + Engineering School,Professional/Vocational
Technical College,Professional/Vocational
Technical Degree,Professional/Vocational
Technical Diploma,Professional/Vocational
Technical Inst. Certification,Professional/Vocational
Technical chef,Work-Based Learning
Technician,Work-Based Learning
Technician Degree,Higher Education
Technikumabschluss Maschinenbau,Higher Education
Technology Course,Professional/Vocational
Telecommunications Technicians Diploma,Higher Education
Tertiary,Higher Education
"Tertiary Ed., no degree",Higher Education
Tertiary Education,Higher Education
Tertiary Level,Higher Education
Tertiary School,Higher Education
Tertiary level,Higher Education
Tertiary school,Higher Education
Textile engineering,Higher Education
Theology diploma,Higher Education
Therapist,Higher Education
Timberman,Work-Based Learning
Topclass welder,Work-Based Learning
Trade,Professional/Vocational
Trade School,Professional/Vocational
Trained nurse,Professional/Vocational
Traineeship,Professional/Vocational
Translator,No/Other Qualification
Trust officer,No/Other Qualification
Trätechniker,Professional/Vocational
Two honours degrees,Higher Education
UP PEF pedagogy,Higher Education
Under Graduate,Higher Education
Undergraduate,Higher Education
Undergraduate Degree,Higher Education
Undergraduate Master's,Higher Education
Undergraduate Medicine (MbChB),Higher Education
Undergraduate degree,Higher Education
Undergraduate degree (not 100 % sure),Higher Education
Undergraduate medical degree,Higher Education
Undergraduates,Higher Education
Uni Abschluss,Higher Education
Uni Degree,Higher Education
Uni degree,Higher Education
Uni level,Higher Education
Uni-Abschluss,Higher Education
Union worker,Work-Based Learning
Univeristy Degree,Higher Education
University,Higher Education
"University
Degree",Higher Education
University Courses,Higher Education
University Degree,Higher Education
University Degree English,Higher Education
University Degree in Foreign Languages,Higher Education
University Degree in Graphic Design,Higher Education
University Diploma,Higher Education
University Teacher,Higher Education
University courses,Higher Education
University degree,Higher Education
University degrees,Higher Education
University qualification,Higher Education
Unknown,No/Other Qualification
Unversity degree,Higher Education
Upper Secondary,Secondary Education
Upper secondary,Secondary Education
VA,No/Other Qualification
VD NCC,No/Other Qualification
Various,No/Other Qualification
Verbeamtet,No/Other Qualification
Vocaional,Professional/Vocational
Vocatinal classes,Professional/Vocational
"Vocatioinal classes, Highest level at secondary school: SVQ Level2, Fitness Level 6, Stanford Grades",Professional/Vocational
Vocation HV Qualification,Professional/Vocational
Vocation classes,Professional/Vocational
Vocationa-Secondaryl,Professional/Vocational
Vocational,Professional/Vocational
Vocational  high school,Professional/Vocational
Vocational (secretarial),Professional/Vocational
Vocational Baccalaureate,Professional/Vocational
Vocational Class,Professional/Vocational
Vocational Classe; Work training (ASEET),Professional/Vocational
Vocational Classes,Professional/Vocational
Vocational Classes (Diploma in electrical installations),Professional/Vocational
Vocational Classes (MC Course),Professional/Vocational
Vocational Classes (MCAST),Professional/Vocational
Vocational Classes (NVQ Business+Administration),Professional/Vocational
"Vocational Classes (O'level, NVQ, ECDL)",Professional/Vocational
Vocational Classes (State Registered Nurse),Professional/Vocational
"Vocational Classes (Trained Stonemason), High School Diploma",Professional/Vocational
Vocational Classes (Translator),Professional/Vocational
Vocational Classes (business management studies),Professional/Vocational
Vocational Classes (graphic design and interactive media),Professional/Vocational
Vocational Classes (tailoring),Professional/Vocational
"Vocational Classes, A-Levels",Professional/Vocational
"Vocational Classes, GCSE",Professional/Vocational
"Vocational Classes, GCSE, BTEC",Professional/Vocational
"Vocational Classes, Work Training (Catering Qualifications)",Professional/Vocational
"Vocational Classes, Work training",Professional/Vocational
"Vocational Classes, Work training (NVQ)",Professional/Vocational
"Vocational Classes, Work training, High School Diploma",Professional/Vocational
"Vocational Classes, diploma",Professional/Vocational
"Vocational Classes,Work training,Bachelor, various software, IT, NW, engineering certifications",Higher Education
Vocational Classes; Apprenticeship,Professional/Vocational
Vocational Classes; Bachelor,Higher Education
Vocational Collge,Professional/Vocational
Vocational Diploma,Professional/Vocational
Vocational High School,Professional/Vocational
Vocational School,Professional/Vocational
Vocational Training,Professional/Vocational
Vocational class,Professional/Vocational
Vocational classes,Professional/Vocational
Vocational classes ( NVQ Business Administration),Professional/Vocational
Vocational classes (AVCE Business),Professional/Vocational
Vocational classes (Carpentry and Joinery),Professional/Vocational
Vocational classes (City and Guilds 224 Electronic Services),Professional/Vocational
"Vocational classes (College: painting and decorating, waitress and hotel management)",Professional/Vocational
"Vocational classes (Drama), Work training, Highest level attained at secondary school, Bachelor, Drama + Performance",Higher Education
Vocational classes (GCSE's+ A-levels),Professional/Vocational
Vocational classes (GCSE),Professional/Vocational
Vocational classes (GCSE/ A-Levels),Professional/Vocational
"Vocational classes (GNVQ Art and Design), Bachelor (BA Accountancy)",Higher Education
Vocational classes (HND),Professional/Vocational
Vocational classes (Media/IT),Professional/Vocational
Vocational classes (Medicine),Professional/Vocational
"Vocational classes (Merchant navey traineeship), other (Foundation degree)",Professional/Vocational
Vocational classes (NVQ 2),Professional/Vocational
Vocational classes (NVQ Retail 1+2),Professional/Vocational
Vocational classes (NVQ in Business Admin),Professional/Vocational
Vocational classes (NVQ level 2 IT),Professional/Vocational
Vocational classes (National Welsh Board A-Levels),Professional/Vocational
Vocational classes (O-Levels),Professional/Vocational
"Vocational classes (Photography), Work training, Highest level attained at secondary school",Professional/Vocational
"Vocational classes (Secreterial), Honorary Degree",Higher Education
Vocational classes (a lot of courses on HR),Professional/Vocational
Vocational classes (accounting),Professional/Vocational
Vocational classes (art),Professional/Vocational
Vocational classes (evening class),Professional/Vocational
Vocational classes (registered nurse),Professional/Vocational
Vocational classes / Apprenticeship,Professional/Vocational
"Vocational classes, Bachelor (Marketing)",Higher Education
"Vocational classes, Bachelor of visual Arts (grade 12 graduate)",Higher Education
"Vocational classes, GCSEs",Professional/Vocational
"Vocational classes, Pharmaceutical sales",Professional/Vocational
"Vocational classes, Work training",Professional/Vocational
"Vocational classes, Work training ( Secretary Linguist/ESOL/Italian Adult Education Qualification)",Professional/Vocational
"Vocational classes, Work training (8GCSE's and 3 years training for Btec certificate, HNC Business finance)",Professional/Vocational
"Vocational classes, Work training (Association of Taxation Technicians)",Professional/Vocational
"Vocational classes, Work training (BTEC, GCSE's)",Professional/Vocational
"Vocational classes, Work training (HND Catering)",Professional/Vocational
"Vocational classes, Work training (NVQ City&Guilds)",Professional/Vocational
"Vocational classes, Work training (Photographer)",Professional/Vocational
"Vocational classes, Work training, Bachelor (CRB Training, NVQ Team Leading, HNC Business+Finance, Diploma in Accountancy, Diploma in Personal Management)",Higher Education
"Vocational classes, Work training, Highest level attained at secondary school",Professional/Vocational
"Vocational classes, Work training, Highest level secondary school (Advanced Highers), Other (HND)",Professional/Vocational
"Vocational classes, highest level at secondary school: standard grades; Bachelor",Higher Education
"Vocational classes, highest level attained at secondary school: Standard Grade",Professional/Vocational
"Vocational classes, other law clerk",Professional/Vocational
"Vocational classes, work training",Professional/Vocational
"Vocational classes, work training ( GCSE, HR Admin, Trust & Co Admin)",Professional/Vocational
"Vocational classes, work training, Highest level attained at secondary school: Advanced Highers; Bachelor, Master's, PhD",Higher Education
"Vocational classes, work training, highest level at secondary school",Professional/Vocational
"Vocational classes, work training, highest level at secondary school: sixth year studies; Bachelor",Higher Education
"Vocational classes, work training, highest level attained at secondary school",Professional/Vocational
Vocational classes: Diploma in radiography,Professional/Vocational
Vocational classes; Highest level at secondary school: Advanced Higher; Bachelor,Higher Education
Vocational classes; Work training (accounting),Professional/Vocational
"Vocational clsses (PDA/HND), Bachelor",Higher Education
Vocational college,Professional/Vocational
Vocational degree,Professional/Vocational
Vocational high school,Professional/Vocational
Vocational school,Professional/Vocational
Vocational school (2 years),Professional/Vocational
Vocational scjool,Professional/Vocational
Vocational training,Professional/Vocational
"Vocational, high school diploma",Professional/Vocational
Volkshochschulabschluss,Secondary Education
Volksschule,Secondary Education
Volljurist,Higher Education
Volljuristin,Higher Education
WP-PEF-PED.Faculty,No/Other Qualification
Web Development,No/Other Qualification
Welder,Work-Based Learning
Wirtschaftsfachwirtin (Ausbildung),Work-Based Learning
Work,No/Other Qualification
Work Training,Work-Based Learning
Work Training (Ausbildung),Work-Based Learning
Work Training (Bäckermeister),Work-Based Learning
Work at coop,No/Other Qualification
Work training,Work-Based Learning
Work training (ACCA),Professional/Vocational
Work training (CIPD),Professional/Vocational
Work training (CRB Training),Work-Based Learning
Work training (Catering/ Industry/Care),Work-Based Learning
Work training (City Guilds),Work-Based Learning
Work training (Diploma in Local Government Pension Scheme Management),Work-Based Learning
Work training (ESC),Work-Based Learning
Work training (Factory Worker),Work-Based Learning
Work training (Foreign Language Correspondent for English and Spanish),Work-Based Learning
Work training (HNC Construction),Professional/Vocational
Work training (Hair dressing),Work-Based Learning
Work training (Health and Social),Work-Based Learning
"Work training (JET 1, ALCM Diploma in music)",Work-Based Learning
Work training (NAG JET 1; City & Guilds Catering),Work-Based Learning
Work training (NVQs),Professional/Vocational
Work training (Retail),Work-Based Learning
Work training (Shop Assistant),Work-Based Learning
Work training (Welder Loan Management),Work-Based Learning
Work training (accountancy),Work-Based Learning
Work training (chef apprenticeship),Work-Based Learning
Work training (construction related),Work-Based Learning
Work training (import/ export),Work-Based Learning
Work training (nurse),Work-Based Learning
Work training (shipping school),Work-Based Learning
"Work training (trained butcher, professional prison officer)",Professional/Vocational
"Work training, Bachelor",Higher Education
"Work training, Bachelor, Masters",Higher Education
"Work training, GCSE",Work-Based Learning
"Work training, Highest level at secondary school: hairdressing",Work-Based Learning
"Work training, Highest level attained at school (sixth year studies)",Work-Based Learning
"Work training, Highest level attained at secondary school: Standard Grade",Work-Based Learning
"Work training, Highest level attained at secondary school: YTS/None",Work-Based Learning
"Work training, Highest level secondary school (Advanced Higher Drama)",Work-Based Learning
"Work training, Highest level secondary school (GCSE 2)",Work-Based Learning
"Work training, Other (C&D Grades at school, various occupational certificates)",Professional/Vocational
"Work training, highest level at secondary school, Bachelor",Higher Education
"Work training, highest level attained at secondary school",Work-Based Learning
"Work training, highest level secondary school: Advanced higher",Work-Based Learning
"Work training,High School Diploma,Bachelor,Masters, other (military)",Higher Education
Work training/Other,Work-Based Learning
Work training; Highest level at secondary school: Highers,Work-Based Learning
Workman,No/Other Qualification
Yachtmaster Offshore (Commercial),Professional/Vocational
Year 11,Secondary Education
Year 12,Secondary Education
Year 8,Secondary Education
Year Ten,Secondary Education
academy,No/Other Qualification
accountacy qualification,Professional/Vocational
accountant,Professional/Vocational
accounts clerk,Professional/Vocational
achelor,Higher Education
advanced level,Secondary Education
advanced levels,Secondary Education
apprenticeship,Work-Based Learning
armourment fitter,Work-Based Learning
art-history major,Higher Education
associate,No/Other Qualification
