Original_Qualification,Mapped_Category
B.A. (Political Science),Higher Education
"B.A., B.Ed.",Higher Education
B.Com.,Higher Education
B.Ed.,Higher Education
B.S.,Higher Education
B.S. College Degree,Higher Education
B.S. of Electrical Engineering,Higher Education
B.S.E.,Higher Education
B.Sc.,Higher Education
BA,Higher Education
BA (Hons),Higher Education
BA (hons),Higher Education
BA (house drawing/painting),Higher Education
BA - Fine Art,Higher Education
BA Economics,Higher Education
BA Engineering,Higher Education
BA History,Higher Education
BA LIB,Higher Education
BA Natural Sciences,Higher Education
BA PGCE,Higher Education
BA degree,Higher Education
BA honours,Higher Education
BA in Accountability (accountancy??),Higher Education
BA in Marketing,Higher Education
BA of Education,Higher Education
BA/MA (Dipl),Higher Education
BA/PGCE,Higher Education
BBA,Higher Education
BDS,Professional/Vocational
BENG,Higher Education
BS,Higher Education
BS Electrical engineering,Higher Education
BSC,Higher Education
BSC's honours,Higher Education
BSc,Higher Education
BSc (Bachelor),Higher Education
BSc Honors Degree,Higher Education
BSc Honours,Higher Education
BSc Honours Degree,Higher Education
"BSc, Master's",Higher Education
BT Manager,No/Other Qualification
BTEC,Work-Based Learning
BTEC National Diploma Dental Technician,Professional/Vocational
BWL University Graduate,Higher Education
Babysitter,No/Other Qualification
Bachelor,Higher Education
Bachelor CELTA,Higher Education
"Bachelor (, Cambridge Business Diploma, IELTS 8.5)",Higher Education
Bachelor (Accountancy),Higher Education
Bachelor (Actuarial Science),Higher Education
Bachelor (BA),Higher Education
Bachelor (Business and IT),Higher Education
Bachelor (Chemical Engineering),Higher Education
Bachelor (Communication),Higher Education
Bachelor (Doctor of Law (ongoing)),Higher Education
Bachelor (Education),Higher Education
Bachelor (Hospitality and tourism),Higher Education
Bachelor (Industrial Engineering),Higher Education
Bachelor (LLB. Hons. II),Higher Education
Bachelor (Nursing),Higher Education
Bachelor (Textile Design),Higher Education
Bachelor (in progress),Higher Education
Bachelor (of Laws),Higher Education
Bachelor (of Science),Higher Education
Bachelor (ongoing),Higher Education
Bachelor (post-graduate diploma),Higher Education
"Bachelor (sixth year studies, Physics degree)",Higher Education
Bachelor (specialist in Food Technology),Higher Education
Bachelor - Primary School teaching,Higher Education
Bachelor Degree,Higher Education
Bachelor Hon.,Higher Education
Bachelor Medicine,Higher Education
Bachelor Professional of Business (CCI),Higher Education
Bachelor degree,Higher Education
Bachelor engineering,Higher Education
Bachelor of Arts,Higher Education
Bachelor of Communication and Psychology,Higher Education
Bachelor of Divinity,Higher Education
Bachelor of Education,Higher Education
Bachelor of Law,Higher Education
Bachelor of Laws,Higher Education
Bachelor of Science,Higher Education
Bachelor of commerce,Higher Education
Bachelor of education,Higher Education
Bachelor of science,Higher Education
Bachelor ongoing,Higher Education
Bachelor's,Higher Education
Bachelor's Degree,Higher Education
Bachelor's degree,Higher Education
"Bachelor, A-Levels, GCSE's",Higher Education
"Bachelor, Master's",Higher Education
"Bachelor, Master's (P. G. C. E.)",Higher Education
"Bachelor, Master's, Highest level secondary school (Highers)",Higher Education
"Bachelor, Master's, PhD",Higher Education
"Bachelor, Masters",Higher Education
"Bachelor, Other (ACA, HDIPED)",Higher Education
"Bachelor, Other (Teacher training college)",Higher Education
"Bachelor, PGCE",Higher Education
"Bachelor, PhD",Higher Education
"Bachelor, Teacher Training",Higher Education
"Bachelor, Vocational classes (Mechanic)",Higher Education
"Bachelor, diploma",Higher Education
"Bachelor, matricualation certificate",Higher Education
"Bachelor, other (CIPD Chartered Member)",Higher Education
"Bachelor, other (Diploma Archive Administration)",Higher Education
"Bachelor, other (Post Graduate Diploma)",Higher Education
"Bachelor, other (postgraduate certificate)",Higher Education
"Bachelor, work training (Recruitment Certificate)",Higher Education
Bachelor/MT,Higher Education
Bachelor: BsC Earth Systems,Higher Education
Bachelor: European studies and Italian,Higher Education
Bachelor: Philosophy and Economics,Higher Education
Bachelor: medical  course MD,Higher Education
Bachelor; Master's,Higher Education
Bachelors,Higher Education
Bachelors Degree,Higher Education
Bachelors degree,Higher Education
"Bachelors, history",Higher Education
Bacherlor,Higher Education
Bachillerato,Secondary Education
Bachlor,Higher Education
Bank clerk,Professional/Vocational
Banker,Professional/Vocational
Banking,Professional/Vocational
Banking Certificate,Professional/Vocational
Banking examinations,Professional/Vocational
Bankkauffrau,Professional/Vocational
Barber,Work-Based Learning
Barts,No/Other Qualification
Basic education,Secondary Education
Bawer,No/Other Qualification
Beautician,Work-Based Learning
Beautician degree,Work-Based Learning
Berufsausbildung,Work-Based Learning
Betreuungsassistentin,Work-Based Learning
Bigi School of restoration,Higher Education
Bio-Chemistry Degree,Higher Education
Biology Degree,Higher Education
