Original_Language,NER_Result,Normalized_Language
"English, Egyptian",,"English, Egyptian"
"English, Filipino",,"English, Filipino"
"English, French",,"English, French"
"English, French, Jèrriais",,"English, French, Jèrriais"
"English, French, Spanish",,"English, French, Spanish"
"English, Gaelic",,"English, Gaelic"
"English, German",,"English, German"
"English, Gibraltarian",,"English, Gibraltarian"
"English, Gibraltarian (Yanito)",,"English, Gibraltarian (Yanito)"
"English, Glaswegian",,"English, Glaswegian"
"English, Greek",,"English, Greek"
"English, Guernsey French",,"English, Guernsey French"
"English, Gujurati",,"English, Gujurati"
"English, Hawaiian",,"English, Hawaiian"
"English, Hindi",,"English, Hindi"
"English, Hindi, Punjabi",,"English, Hindi, Punjabi"
"English, Hindi,unspecified",,"English, Hindi, Unspecified"
"English, Irish",,"English, Irish"
"English, Irish Gaelic",,"English, Irish Gaelic"
"English, Italian",,"English, Italian"
"English, Italian, French",,"English, Italian, French"
"English, Japanese",,"English, Japanese"
"English, Jersey French",,"English, Jersey French"
"English, Jèrriais",,"English, Jèrriais"
"English, Jèrriais, French",,"English, Jèrriais, French"
"English, Kiswahili",,"English, Kiswahili"
"English, Maltese",,"English, Maltese"
"English, Maltese + French",,"English, Maltese, French"
"English, Maltese, French",,"English, Maltese, French"
"English, Maltese, Italian",,"English, Maltese, Italian"
"English, Maltese, Italian, French",,"English, Maltese, Italian, French"
"English, Mandarin",,"English, Mandarin"
"English, Native, French",,"English, Native, French"
"English, Polish",,"English, Polish"
"English, Portuguese",,"English, Portuguese"
"English, Portuguese for the first two years",,"English, Portuguese For The First Two Years"
"English, Punjabi",,"English, Punjabi"
"English, Romanian",,"English, Romanian"
"English, Russian",,"English, Russian"
"English, Scots",,"English, Scots"
"English, Scottish",,"English, Scottish"
"English, Serquais",,"English, Serquais"
"English, Slovenian",,"English, Slovenian"
"English, Slovenian, Croatian",,"English, Slovenian, Croatian"
"English, Slovenian, German",,"English, Slovenian, German"
"English, Slovenian, Serbian",,"English, Slovenian, Serbian"
"English, Spanish",,"English, Spanish"
"English, Spanish for 15 years",,"English, Spanish For 15 Years"
"English, Spanish, French, Arabic",,"English, Spanish, French, Arabic"
"English, Spanish, German",,"English, Spanish, German"
"English, Spanish, sign language",,"English, Spanish, Sign Language"
"English, Swedish",,"English, Swedish"
"English, Swedish, Arabic",,"English, Swedish, Arabic"
"English, Swedish, Danish",,"English, Swedish, Danish"
"English, Swedish, Greenlandic",,"English, Swedish, Greenlandic"
"English, Swedish, Polish",,"English, Swedish, Polish"
"English, Swedish, Russian",,"English, Swedish, Russian"
"English, Swedish, Spanish",,"English, Swedish, Spanish"
"English, Swedish, Spanish, German",,"English, Swedish, Spanish, German"
"English, Swedish, Thai",,"English, Swedish, Thai"
"English, Tagalog",,"English, Tagalog"
"English, Turkish",,"English, Turkish"
"English, Venetian",,"English, Venetian"
"English, Vietnamese",,"English, Vietnamese"
"English, Welsh",,"English, Welsh"
"English, Welsh, Arabic",,"English, Welsh, Arabic"
"English, Yanito",,"English, Yanito"
"English, Zulu",,"English, Zulu"
"English, contact Guernésiais and Jèrriais",,"English, Contact Guernésiais, Jèrriais"
"English, mostly English / some Spanish",,"English, Mostly English, Some Spanish"
"English, mostly English, some Scots",,"English, Mostly English, Some Scots"
"English, mostly English, some Sots, Gaidhlig",,"English, Mostly English, Some Sots, Gaidhlig"
"English, other (Filipino / Ilocano)",,"English, Other (Filipino, Ilocano)"
"English, other (Filipino)",,"English, Other (Filipino)"
"English, other (French)",,"English, Other (French)"
"English, other (Serbian)",,"English, Other (Serbian)"
"English, other (Vietnamese)",,"English, Other (Vietnamese)"
"English, other: Chichewa",,"English, Other: Chichewa"
"English, some French",,"English, Some French"
"English, some Greek, but only till 6 years old",,"English, Some Greek, But Only Till 6 Years Old"
"English, some Malaysian",,"English, Some Malaysian"
"English, some Welsh",,"English, Some Welsh"
"English,Hindi",,"English, Hindi"
"English,Hindi,Dakhni,Telugu,Bengali",,"English, Hindi, Dakhni, Telugu, Bengali"
"English,Hindi,Dogri",,"English, Hindi, Dogri"
"English,Hindi,Haryanvi",,"English, Hindi, Haryanvi"
"English,Hindi,Himachali",,"English, Hindi, Himachali"
"English,Hindi,Kashmiri",,"English, Hindi, Kashmiri"
"English,Hindi,Multani",,"English, Hindi, Multani"
"English,Hindi,Paharhi (Dialect)",,"English, Hindi, Paharhi (Dialect)"
"English,Hindi,Punjabi",,"English, Hindi, Punjabi"
"English,Hindi,Punjabi,Poonchi,Urdu",,"English, Hindi, Punjabi, Poonchi, Urdu"
"English,Hindi,Punjabi,Urdu",,"English, Hindi, Punjabi, Urdu"
"English,Hindi,unspecified",,"English, Hindi, Unspecified"
"English,Manipuri",,"English, Manipuri"
"English,Scots",,"English, Scots"
"English,Spanish",,"English, Spanish"
"English,Welsh",,"English, Welsh"
"English,other (German)",,"English, Other (German)"
"English,other (Mongolian)",,"English, Other (Mongolian)"
"English,unspecified",,"English, Unspecified"
English/ Italian,,"English, Italian"
English/Afrikaans,,"English, Afrikaans"
English/Arabic,,"English, Arabic"
English/French,,"English, French"
English/German/Romanian/some Spanish,,"English, German, Romanian, Some Spanish"
English/German/Swiss-German,,"English, German, Swiss-German"
English/Indian,,"English, Indian"
English/Scots,,"English, Scots"
English/Scottish,,"English, Scottish"
English/Spanish,,"English, Spanish"
English/Welsh,,"English, Welsh"
English/little Welsh,,"English, Little Welsh"
English; Czech,,"English, Czech"
English; French; Vietnamese,,"English, French, Vietnamese"
English; German,,"English, German"
English; Malta,,"English, Malta"
English; Maltese,,"English, Maltese"
English; Maltese; French,,"English, Maltese, French"
English; Maltese; Italian,,"English, Maltese, Italian"
English; Turkish,,"English, Turkish"
English; attended Irish medium primary school from age 4-11; was bilingual as a child,,"English, Attended Irish Medium Primary School From Age 4-11, Was Bilingual As A Child"
English; father spoke German 50 % of the time,,"English, Father Spoke German 50 % Of The Time"
"English; mostly English, some Hawaiian",,"English, Mostly English, Some Hawaiian"
English; other,,"English, Other"
English; some Hungarian and Chinese,,"English, Some Hungarian, Chinese"
English?,,English?
"Englishi, Punjabi",,"Englishi, Punjabi"
Englsih (Edinburgh),,Englsih (Edinburgh)
Enl,,Enl
European,,European
Farsi,,Farsi
"Farsi, Assyrian",,"Farsi, Assyrian"
Filipino,,Filipino
Finnish,,Finnish
"Finnish, Swedish",,"Finnish, Swedish"
Flamish,,Flamish
French,,French
French / German,,"French, German"
"French, Congolese",,"French, Congolese"
"French, English",,"French, English"
"French, Jèrriais",,"French, Jèrriais"
"French, Spanish",,"French, Spanish"
"French, Swiss-German",,"French, Swiss-German"
French. Italian,,French. Italian
French; Maltese,,"French, Maltese"
Ga,,Ga
Gaelic,,Gaelic
"Gaelic, English",,"Gaelic, English"
Gaidhlig,,Gaidhlig
Geman,,Geman
German,,German
German (NRW),,German (Nrw)
German / Arabic,,"German, Arabic"
German / Bulgarian,,"German, Bulgarian"
German / French,,"German, French"
German / Fränkisch,,"German, Fränkisch"
German / Italian,,"German, Italian"
German / Polish,,"German, Polish"
German / Romanian,,"German, Romanian"
German / Russian,,"German, Russian"
German / Spanish,,"German, Spanish"
German / Turkish,,"German, Turkish"
German / Vietnamese / some English,,"German, Vietnamese, Some English"
German / Yugoslavian,,"German, Yugoslavian"
German / some Russian,,"German, Some Russian"
German+Russian,,"German, Russian"
"German, Arabic/Algerian Accent (Darija)",,"German, Arabic, Algerian Accent (Darija)"
"German, English",,"German, English"
"German, French, Danish, English",,"German, French, Danish, English"
"German, Japanese",,"German, Japanese"
"German, Russian",,"German, Russian"
"German, Spanish",,"German, Spanish"
"German, other (Italian)",,"German, Other (Italian)"
"German, other (Kurdish)",,"German, Other (Kurdish)"
"German, other (Russian)",,"German, Other (Russian)"
"German, other (Sorbian)",,"German, Other (Sorbian)"
"German,Slovenian",,"German, Slovenian"
German/Bayrisch,,"German, Bayrisch"
German/Dutch,,"German, Dutch"
German/English,,"German, English"
German/Persian,,"German, Persian"
German/Polish,,"German, Polish"
German/Russian,,"German, Russian"
German/Spanish,,"German, Spanish"
German/Turkish,,"German, Turkish"
German; English,,"German, English"
German; Maltese,,"German, Maltese"
Gibraltarian,,Gibraltarian
Gibraltarian (Yanito),,Gibraltarian (Yanito)
Gibraltarian English,,Gibraltarian English
"Gibraltarian, English",,"Gibraltarian, English"
Glaswegian,,Glaswegian
Gozotan,,Gozotan
Greek,,Greek
Greek; Maltese,,"Greek, Maltese"
Greenlandic language,,Greenlandic Language
Guernsey French,,Guernsey French
"Gujarati,Hindi,English",,"Gujarati, Hindi, English"
Gujurati,,Gujurati
Hamirpuri,,Hamirpuri
Haryanvi,,Haryanvi
"Haryanvi,Hindi",,"Haryanvi, Hindi"
Hawaiian,,Hawaiian
Hebrew,,Hebrew
Hidni,,Hidni
Himachali,,Himachali
Hindi,,Hindi
"Hindi
English",,Hindi English
Hindi (Khari Boli),,Hindi (Khari Boli)
"Hindi, English",,"Hindi, English"
"Hindi, Himalchali",,"Hindi, Himalchali"
"Hindi, Punjabi",,"Hindi, Punjabi"
"Hindi, unspecified",,"Hindi, Unspecified"
"Hindi,Assamese",,"Hindi, Assamese"
"Hindi,Bhojpuri",,"Hindi, Bhojpuri"
"Hindi,Dogri/Jammu",,"Hindi, Dogri, Jammu"
"Hindi,English",,"Hindi, English"
"Hindi,Haryanvi",,"Hindi, Haryanvi"
"Hindi,Himachali",,"Hindi, Himachali"
"Hindi,Kinnauri",,"Hindi, Kinnauri"
"Hindi,Maithili",,"Hindi, Maithili"
"Hindi,Pahadi",,"Hindi, Pahadi"
"Hindi,Pahari",,"Hindi, Pahari"
"Hindi,Punjabi",,"Hindi, Punjabi"
"Hindi,Sirmauri-Tamkari",,"Hindi, Sirmauri-Tamkari"
"Hindi,Sirmauri-Tankari",,"Hindi, Sirmauri-Tankari"
"Hindi,Tamil",,"Hindi, Tamil"
"Hindi,unspecified",,"Hindi, Unspecified"
Hindu,,Hindu
Hungarian,,Hungarian
Icelandic,,Icelandic
Igbo,,Igbo
Ilocano,,Ilocano
Indian,,Indian
"Indian, English",,"Indian, English"
Irish,,Irish
Irish English,,Irish English
"Irish, English",,"Irish, English"
Islandic,,Islandic
Italian,,Italian
Italian and Maltese,,"Italian, Maltese"
"Italian, English",,"Italian, English"
"Italian, Maltese",,"Italian, Maltese"
"Italian, Serbian, Croatian",,"Italian, Serbian, Croatian"
"Italian, Slovene",,"Italian, Slovene"
"Italian, Slovenian, German",,"Italian, Slovenian, German"
"Italian, Venetian",,"Italian, Venetian"
Italian/ English,,"Italian, English"
Italien,,Italien
Japanese,,Japanese
Jersey,,Jersey
"Jersey French, English",,"Jersey French, English"
Jèrriais,,Jèrriais
"Jèrriais, English",,"Jèrriais, English"
Jérriais,,Jérriais
Kalenjin,,Kalenjin
Kashmiri,,Kashmiri
Kenyan,,Kenyan
Korean,,Korean
Kosovo,,Kosovo
Kurdish,,Kurdish
Ladakhi,,Ladakhi
Latvian,,Latvian
Le Masurier (?),,Le Masurier (?)
Lebanese,,Lebanese
"Lingala, French",,"Lingala, French"
Macedonian,,Macedonian
Maghi,,Maghi
Majorcan,,Majorcan
Malagasy,,Malagasy
Malayalam,,Malayalam
Malaysian,,Malaysian
Malese,,Malese
Mallorqui,,Mallorqui
Mallorquin,,Mallorquin
Mallorquin Catalan,,Mallorquin Catalan
Maltese,,Maltese
Maltese (talks English at home),,Maltese (Talks English At Home)
Maltese (very little English),,Maltese (Very Little English)
Maltese +  English,,"Maltese, English"
