Original_Language,NER_Result,Normalized_Language
mostly Catalan (Majorcan)/ some Spanish,,"Mostly Catalan (Majorcan), Some Spanish"
mostly Catalan (Mallorcan)/ some Spanish,,"Mostly Catalan (Mallorcan), Some Spanish"
mostly Catalan (Mallorquin)/ some Spanish,,"Mostly Catalan (Mallorquin), Some Spanish"
mostly Catalan (Menorca (El Castell))/ some Spanish,,"Mostly Catalan (Menorca (El Castell)), Some Spanish"
mostly Catalan (Menorcan)/ some Spanish,,"Mostly Catalan (Menorcan), Some Spanish"
mostly Catalan/ some Spanish,,"Mostly Catalan, Some Spanish"
mostly Danish / some English,,"Mostly Danish, Some English"
"mostly Danish / some English, Polish, German",,"Mostly Danish, Some English, Polish, German"
"mostly English
+ some Spanish",,"Mostly English, Some Spanish"
mostly English + some Spanish,,"Mostly English, Some Spanish"
mostly English / some Danish,,"Mostly English, Some Danish"
mostly English / some German,,"Mostly English, Some German"
mostly English / some German / Chinese,,"Mostly English, Some German, Chinese"
mostly English / some Maltese,,"Mostly English, Some Maltese"
"mostly English / some Maltese, German",,"Mostly English, Some Maltese, German"
"mostly English / some Maltese, arabic",,"Mostly English, Some Maltese, Arabic"
mostly English / some Scots,,"Mostly English, Some Scots"
mostly English / some Scots / Spanish,,"Mostly English, Some Scots, Spanish"
mostly English / some Slovenian,,"Mostly English, Some Slovenian"
mostly English / some Spanish,,"Mostly English, Some Spanish"
"mostly English / some Spanish, Arabic",,"Mostly English, Some Spanish, Arabic"
mostly English / some Swedish,,"Mostly English, Some Swedish"
mostly English some Maltese,,Mostly English Some Maltese
mostly English some Spanish,,Mostly English Some Spanish
"mostly English, but some Maltese",,"Mostly English, But Some Maltese"
"mostly English, some French",,"Mostly English, Some French"
"mostly English, some Hawaiian",,"Mostly English, Some Hawaiian"
"mostly English, some Maltese",,"Mostly English, Some Maltese"
"mostly English, some Maltese and Italian",,"Mostly English, Some Maltese, Italian"
"mostly English, some Maltese, German",,"Mostly English, Some Maltese, German"
"mostly English, some Maltese, Italian",,"Mostly English, Some Maltese, Italian"
"mostly English, some Maltese, Turkish",,"Mostly English, Some Maltese, Turkish"
"mostly English, some Scots",,"Mostly English, Some Scots"
"mostly English, some Spamish",,"Mostly English, Some Spamish"
"mostly English, some Spanish",,"Mostly English, Some Spanish"
"mostly English, some Spanish, French",,"Mostly English, Some Spanish, French"
"mostly English, some Spanish, German",,"Mostly English, Some Spanish, German"
"mostly English, some Spanish, Portuguese",,"Mostly English, Some Spanish, Portuguese"
"mostly Enlish, some Scots",,"Mostly Enlish, Some Scots"
mostly German / some English,,"Mostly German, Some English"
mostly German / some English / some Turkish,,"Mostly German, Some English, Some Turkish"
"mostly German / some English, other (French)",,"Mostly German, Some English, Other (French)"
mostly German 2 English. Thai,,Mostly German 2 English. Thai
mostly German some English,,Mostly German Some English
"mostly German, some Turkish",,"Mostly German, Some Turkish"
mostly Maltese,,Mostly Maltese
mostly Maltese + some English,,"Mostly Maltese, Some English"
mostly Maltese / some English,,"Mostly Maltese, Some English"
"mostly Maltese / some English, Italian",,"Mostly Maltese, Some English, Italian"
mostly Maltese some English,,Mostly Maltese Some English
"mostly Maltese some English, Italian",,"Mostly Maltese Some English, Italian"
mostly Maltese+some English,,"Mostly Maltese, Some English"
"mostly Maltese, but some English",,"Mostly Maltese, But Some English"
"mostly Maltese, but some English, Italian",,"Mostly Maltese, But Some English, Italian"
"mostly Maltese, some English",,"Mostly Maltese, Some English"
"mostly Maltese, some English + Italian",,"Mostly Maltese, Some English, Italian"
"mostly Maltese, some English and Italian",,"Mostly Maltese, Some English, Italian"
"mostly Maltese, some English and some Italian",,"Mostly Maltese, Some English, Some Italian"
"mostly Maltese, some English, Italian",,"Mostly Maltese, Some English, Italian"
"mostly Maltese, some English, some Italian",,"Mostly Maltese, Some English, Some Italian"
"mostly Maltesem, but some English",,"Mostly Maltesem, But Some English"
"mostly Romanian, some German",,"Mostly Romanian, Some German"
mostly Scots,,Mostly Scots
mostly Scots / some English,,"Mostly Scots, Some English"
"mostly Scots, some English",,"Mostly Scots, Some English"
mostly Slovenian / some English,,"Mostly Slovenian, Some English"
mostly Slovenian / some English and some Italian,,"Mostly Slovenian, Some English, Some Italian"
"mostly Slovenian / some English, Spanish",,"Mostly Slovenian, Some English, Spanish"
"mostly Spanish
+  some English",,"Mostly Spanish, Some English"
"mostly Spanish
+ some English",,"Mostly Spanish, Some English"
"mostly Spanish
some English",,Mostly Spanish Some English
mostly Spanish / some English,,"Mostly Spanish, Some English"
"mostly Spanish / some English, Korean",,"Mostly Spanish, Some English, Korean"
mostly Spanish some English,,Mostly Spanish Some English
"mostly Spanish, 
some English",,"Mostly Spanish, Some English"
"mostly Spanish,  some English",,"Mostly Spanish, Some English"
"mostly Spanish, some English",,"Mostly Spanish, Some English"
"mostly Spanish, some English, Arabic, French",,"Mostly Spanish, Some English, Arabic, French"
"mostly Spanish, some English, Moroccan",,"Mostly Spanish, Some English, Moroccan"
"mostly Spanish, some English, Yanito",,"Mostly Spanish, Some English, Yanito"
mostly Spanish/ some Catalan,,"Mostly Spanish, Some Catalan"
mostly Spanish/ some Catalan (Mallorqui),,"Mostly Spanish, Some Catalan (Mallorqui)"
mostly Spanish/ some Catalan (Mallorquin),,"Mostly Spanish, Some Catalan (Mallorquin)"
"mostly Spanish/ some Catalan, French",,"Mostly Spanish, Some Catalan, French"
"mostly Spansih, some Englilsh",,"Mostly Spansih, Some Englilsh"
"mostly Spansih, some English",,"Mostly Spansih, Some English"
mostly Swedish / some English,,"Mostly Swedish, Some English"
mostly Swedish / some English / Thai,,"Mostly Swedish, Some English, Thai"
"mostly Swedish / some English, Norwegian",,"Mostly Swedish, Some English, Norwegian"
"mostly Swedish / some English, Spanish",,"Mostly Swedish, Some English, Spanish"
"mostly Yanito, some English",,"Mostly Yanito, Some English"
"other (Amharic), English, German",,"Other (Amharic), English, German"
"other (Arabic, Turkish), German",,"Other (Arabic, Turkish), German"
"other (Bosnian, Serbo-Croatian)",,"Other (Bosnian, Serbo-Croatian)"
other (Chinese),,Other (Chinese)
"other (Dutch, Persian), German",,"Other (Dutch, Persian), German"
other (Equal parts English and Spanish),,"Other (Equal Parts English, Spanish)"
other (German),,Other (German)
other (Italian),,Other (Italian)
"other (Italian), German",,"Other (Italian), German"
other (Mandarin),,Other (Mandarin)
other (Moroccan),,Other (Moroccan)
"other (Polish), German",,"Other (Polish), German"
"other (Romanian), German",,"Other (Romanian), German"
"other (Russian), German",,"Other (Russian), German"
"other (Russian), some German",,"Other (Russian), Some German"
"other (Russian, Ukrainian)",,"Other (Russian, Ukrainian)"
other (Serbian),,Other (Serbian)
"other (Spanish), German",,"Other (Spanish), German"
other (Tagalog),,Other (Tagalog)
"other (Tigrinya), some German",,"Other (Tigrinya), Some German"
other (Uighurish),,Other (Uighurish)
other (Ukrainian),,Other (Ukrainian)
other (Ukranian),,Other (Ukranian)
other (Vietnamese),,Other (Vietnamese)
"other (initially spoke Spanish, later switched to English. Parents, however, still spoke Spanish)",,"Other (Initially Spoke Spanish, Later Switched To English. Parents, However, Still Spoke Spanish)"
"some Spanish, mostly Hebrew",,"Some Spanish, Mostly Hebrew"
unspecified,,Unspecified
