Original_Language,NER_Result,Normalized_Language
English British,English British,English
English West Indies (American),"English West Indies, American",English
English and Bulgarian,"English, Bulgarian","English, Bulgarian"
English and Maltese,"English, Maltese","English, Maltese"
English and Spanish,"English, Spanish","English, Spanish"
English&Spanish,"English, Spanish","English, Spanish"
English+French,"English, French","English, French"
English+Spanish,"English, Spanish","English, Spanish"
"English,
Italian","English, Italian","English, Italian"
"English,
Spanish","English, Spanish","English, Spanish"
"English, 
Spanish","English, Spanish","English, Spanish"
"English,  Spanish","English, Spanish","English, Spanish"
"English, Africaan, French, Swedish, Norwegian, Danish","English, Africaan, French, Swedish, Norwegian, Danish","English, Afrikaans, French, Swedish, Norwegian, Danish"
"English, Africaans","English, Africaans","English, Afrikaans"
"English, Afrikaans","English, Afrikaans","English, Afrikaans"
"English, Arabic","English, Arabic","English, Arabic"
"English, Arabic, Bengali","English, Arabic, Bengali","English, Arabic, Bengali"
"English, Bosnian, German","English, Bosnian, German","English, Bosnian, German"
"English, Cantonese","English, Cantonese","English, Cantonese"
"English, Chinese","English, Chinese","English, Chinese"
"English, Chinese, German, Czech","English, Chinese, German, Czech","English, Chinese, German, Czech"
"English, Dutch","English, Dutch","English, Dutch"
"English, Egyptian","English, Egyptian","English, Egyptian"
"English, Filipino","English, Filipino","English, Filipino"
"English, French","English, French","English, French"
"English, French, Jèrriais","English, French, Jèrriais","English, French, Jèrriais"
"English, French, Spanish","English, French, Spanish","English, French, Spanish"
"English, Gaelic","English, Gaelic","English, Gaelic"
"English, German","English, German","English, German"
"English, Gibraltarian","English, Gibraltarian","English, Gibraltarian"
"English, Gibraltarian (Yanito)","English, Gibraltarian, Yanito","English, Gibraltarian, Yanito"
"English, Glaswegian","English, Glaswegian","English, Glaswegian"
"English, Greek","English, Greek","English, Greek"
"English, Guernsey French","English, Guernsey French","English, Guernsey French"
"English, Gujurati","English, Gujurati","English, Gujurati"
"English, Hawaiian","English, Hawaiian","English, Hawaiian"
"English, Hindi","English, Hindi","English, Hindi"
"English, Hindi, Punjabi","English, Hindi, Punjabi","English, Hindi, Punjabi"
"English, Hindi,unspecified",English,English
"English, Irish","English, Irish","English, Irish"
"English, Irish Gaelic","English, Irish Gaelic","English, Irish Gaelic"
"English, Italian","English, Italian","English, Italian"
"English, Italian, French","English, Italian, French","English, Italian, French"
"English, Japanese","English, Japanese","English, Japanese"
"English, Jersey French","English, Jersey French","English, Jèrriais"
"English, Jèrriais","English, Jèrriais","English, Jèrriais"
"English, Jèrriais, French","English, Jèrriais, French","English, Jèrriais, French"
"English, Kiswahili","English, Kiswahili","English, Kiswahili"
"English, Maltese","English, Maltese","English, Maltese"
"English, Maltese + French","English, Maltese, French","English, Maltese, French"
"English, Maltese, French","English, Maltese, French","English, Maltese, French"
"English, Maltese, Italian","English, Maltese, Italian","English, Maltese, Italian"
"English, Maltese, Italian, French","English, Maltese, Italian, French","English, Maltese, Italian, French"
"English, Mandarin","English, Mandarin","English, Mandarin"
"English, Native, French","English, Native, French","English, Native, French"
"English, Polish","English, Polish","English, Polish"
"English, Portuguese","English, Portuguese","English, Portuguese"
"English, Portuguese for the first two years","English, Portuguese","English, Portuguese"
"English, Punjabi","English, Punjabi","English, Punjabi"
"English, Romanian","English, Romanian","English, Romanian"
"English, Russian","English, Russian","English, Russian"
"English, Scots","English, Scots","English, Scots"
"English, Scottish","English, Scottish","English, Scottish"
"English, Serquais","English, Serquais","English, Serquais"
