InformantID,Occupation,Mapped_Category
GIB10-060m19,Student,Higher Education
GIB10-061m17,Student,Secondary Education
GIB10-063f15,Student,Secondary Education
GIB10-091f17,Student,Secondary Education
GIB10-093f16,Student,Secondary Education
GIB10-094f16,Student,Secondary Education
GIB10-096f16,Student,Secondary Education
GIB10-097f17,Student,Secondary Education
GIB10-098f16,Student,Secondary Education
GIB10-102f17,Student,Secondary Education
GIB10-103f18,Student,Higher Education
GIB10-107f17,Student,Secondary Education
GIB10-109f17,Student,Secondary Education
GIB10-111f17,Student,Secondary Education
GIB10-113f16,Student,Secondary Education
GIB10-114f16,Student,Secondary Education
GIB10-115f16,Student,Secondary Education
GIB10-117f18,Student,Secondary Education
GIB10-118f17,Student,Secondary Education
GIB10-138m16,student,Secondary Education
GIB10-145m16,student,Secondary Education
GIB10-146m16,student,Secondary Education
GIB10-147m17,student,Secondary Education
GIB10-149f15,student,Secondary Education
GIB10-151f16,student,Secondary Education
GIB10-152f17,student,Secondary Education
GIB10-156f18,student,Higher Education
GIB10-157f18,student,Higher Education
GIB10-236f16,student,Secondary Education
GIB10-238f15,student,Secondary Education
GIB10-355f17,student,Secondary Education
MT09-223m18,student (mecahnics),Higher Education
MT13-372m19,student and work in a fishfarm,Higher Education
IR15-018m20,student of Law & German,Higher Education
IR15-019m19,"student, bartender",Higher Education
PR12-096m22,"Student, Farmer",Higher Education
MT13-300f22,"Student, part-time job",Higher Education
MT09-053f17,"Student, part-time Waitress",Higher Education
MT13-312m18,"student, waiter",Higher Education
WA10-305f17,Student/ Waitress,Secondary Education
MT23-0494,Supervision Retail,No/Other Qualification
MT13-176f27,supervisor,No/Other Qualification
MT18-243f23,Supervisor,No/Other Qualification
GIB10-385m20,supervisor,No/Other Qualification
JE09-186m46,Tattooist,No/Other Qualification
MT13-097m54,Taxi driver,No/Other Qualification
MT13-308m36,Taxi driver,No/Other Qualification
MT13-483m33,Taxi Driver,No/Other Qualification
MT18-214f52,Taxi driver,No/Other Qualification
MT18-371m31,Taxi driver,No/Other Qualification
MT08-180f66,Teacher,Higher Education
MT09-264f54,teacher,Higher Education
MT23-0500,teacher,Higher Education
JE09-314f79,"Teacher learning difficulties, cotton mill",Higher Education
MT23-0409,Technician,Work-Based Learning
MT09-056NA15,teenager,No/Other Qualification
JE09-038f37,Telecommunications Engineer,Professional/Vocational
SC16-235m69,Telephone engineer,Professional/Vocational
GIB10-140m38,theatre manager,Professional/Vocational
GIB10-307m36,Tour Guide,No/Other Qualification
MT23-0242,Tourism,No/Other Qualification
MT13-427f23,Tourist Guide,No/Other Qualification
GIB10-127f46,tourist information officer,No/Other Qualification
GIB10-378m60,"tourist office, tour guide",No/Other Qualification
MT23-0482,train driver,Work-Based Learning
MT09-073m27,transport aide,No/Other Qualification
WA10-252f42,Travel shop advisor,No/Other Qualification
MT18-235f43,Travel specialists,No/Other Qualification
JE09-029m21,Treasury Operations Analist,No/Other Qualification
PR12-224m21,Undergraduate Research,Higher Education
HI15-032m18,Undergraduate student,Higher Education
SE22-185m18,understudy,Higher Education
JE09-304f35,Unemployed,No/Other Qualification
MT09-068m34,unemployed,No/Other Qualification
SC16-095m52,Unemployed,No/Other Qualification
SC16-142m43,Unemployed,No/Other Qualification
SC16-232m44,Unemployed,No/Other Qualification
SE22-167m18,Unemployed,No/Other Qualification
WA10-078m17,unemployed,No/Other Qualification
WA10-342m42,unemployed,No/Other Qualification
GIB10-163m45,unemployed,No/Other Qualification
AUS10-017f18,University student,Higher Education
GIB10-383f33,VIP customer advisor,No/Other Qualification
JE09-006m54,Visitor Services Assistant,No/Other Qualification
WA10-291f18,Volunteer,No/Other Qualification
SI24-0104,waiter,No/Other Qualification
SI24-0308,waiter at restaurant,No/Other Qualification
JE09-027f40,Waitress,No/Other Qualification
WA10-319f28,Waitress/ Manager,No/Other Qualification
WA10-236m49,Web-Developer,Professional/Vocational
JE09-127m39,Welder fitter,Work-Based Learning
MT13-281m20,Wembley Motors,No/Other Qualification
DK22-012m23,Wine Importer,No/Other Qualification
SE22-046f20,Work,No/Other Qualification
MT18-432f43,Worked in a factory for microelectronics,No/Other Qualification
JE09-147m77,Worker/Machinist,No/Other Qualification
MT13-165m17,working,No/Other Qualification
SE22-036f23,working,No/Other Qualification
JE09-003m40,Working in a gallery,No/Other Qualification
MT09-209f25,works in law courts,No/Other Qualification
GIB10-173f53,works in school,No/Other Qualification
IR15-031f50,writer,No/Other Qualification
JE09-301m21,Writer,No/Other Qualification
JE09-321f41,Yoga teacher,No/Other Qualification
MT13-161f33,zumba instructor,No/Other Qualification
