InformantID,Occupation,Mapped_Category
MT13-502f53,Housewife,No/Other Qualification
MT18-173f71,Housewife,No/Other Qualification
MT18-176f54,Housewife,No/Other Qualification
MT18-185f59,Housewife,No/Other Qualification
MT18-444f45,Housewife,No/Other Qualification
MT23-0323,housewife,No/Other Qualification
MT23-0237,housewife,No/Other Qualification
MT23-0493,housewife,No/Other Qualification
MT23-0254,housewife,No/Other Qualification
SC16-233f40,Housewife,No/Other Qualification
WA10-123f63,Housewife,No/Other Qualification
WA10-366f52,Housewife,No/Other Qualification
GIB10-248f24,housewife,No/Other Qualification
GIB10-250f58,housewife,No/Other Qualification
MT08-038f36,"Housewife, Student",Secondary Education
MT13-116f54,"housewife, volunteer",No/Other Qualification
JE09-180f68,"Housewife, works at museum",No/Other Qualification
MT18-174f71,Housewife/hairdresser,Work-Based Learning
MT18-370f57,Housewife; previously in factory,No/Other Qualification
WA10-374f35,Human Resources Assistant,Professional/Vocational
WA10-375f37,Human Resources Assistant,Professional/Vocational
SE22-161f18,ICA,Professional/Vocational
GIB10-379f29,immigration officer,Professional/Vocational
MT13-458f29,Insurance clerk,No/Other Qualification
JE09-024f77,Interior Decorator,No/Other Qualification
MT08-097m33,"Internet Cafe
Clerk",No/Other Qualification
SE22-277f68,Invigilator,No/Other Qualification
MT08-039m39,Jeweller,No/Other Qualification
MT18-329m57,Jewellery shop staff,No/Other Qualification
SE22-195f19,Journalist,Professional/Vocational
JE09-158m89,Juweller,No/Other Qualification
MT08-230m58,Lab Officer,No/Other Qualification
SC16-059m89,Labourer,No/Other Qualification
PR12-465f25,Lawyer,Higher Education
WA10-315f59,Library Assistant,No/Other Qualification
SE22-135m52,LTH,Higher Education
JE09-144f71,Machine operator,No/Other Qualification
SE22-256m26,Manager,Professional/Vocational
JE09-090m63,Manager men's wear,Professional/Vocational
MT08-150m43,"Managing
Director",Professional/Vocational
JE09-138f75,"Manual (Cotton industry, waitress)",No/Other Qualification
MT13-259m36,Marble Installer,Work-Based Learning
SE22-184f18,Max Burgers AB,No/Other Qualification
DK22-077m30,Mec designer,No/Other Qualification
WA10-365m49,Mechanical Engineer,Higher Education
HI15-002f23,Medical Assistant,Higher Education
HI15-040m45,Musician,No/Other Qualification
HI15-029m18,none,No/Other Qualification
SI24-0286,none,No/Other Qualification
GIB10-243f55,none,No/Other Qualification
MT13-424f34,nothing,No/Other Qualification
JE09-184f91,Nurse,Professional/Vocational
GIB10-327m42,nurse,Professional/Vocational
GIB10-329f27,nurse,Professional/Vocational
GIB10-330m22,nurse,Professional/Vocational
GIB10-331m34,nurse,Professional/Vocational
GIB10-125m20,Ocean village,No/Other Qualification
GIB10-249f33,office clerk,No/Other Qualification
MT18-408m51,Office supervisor,No/Other Qualification
MT18-102f20,Online content Moderator,No/Other Qualification
MT13-317f43,optician vision,Work-Based Learning
MT18-324m51,Owning business,No/Other Qualification
GIB10-391f31,P.A. Lord Nelson Ltd,No/Other Qualification
WA10-116f48,P/t sales assistant,No/Other Qualification
MT13-223m46,painter,Work-Based Learning
JE09-031m59,Painting Decorator,No/Other Qualification
MT18-171f56,Part time worker/housewife,No/Other Qualification
WA10-386m22,Pay and Benefits Assistant,No/Other Qualification
MT23-0347,pension,No/Other Qualification
MT09-156f66,pensioner,No/Other Qualification
MT13-330m70,pensioner,No/Other Qualification
MT18-167m65,Pensioner,No/Other Qualification
MT18-210m74,Pensioner,No/Other Qualification
MT18-269m71,Pensioner,No/Other Qualification
MT18-288m80,Pensioner,No/Other Qualification
MT23-0235,pensioner,No/Other Qualification
MT23-0436,pensioner,No/Other Qualification
MT18-156f70,Pensioner/housewife,No/Other Qualification
MT23-0361,pensionist,No/Other Qualification
MT23-0238,pensionist,No/Other Qualification
MT23-0241,pensionist,No/Other Qualification
MT23-0244,pensionist,No/Other Qualification
WA10-371f48,Pensions Assistant,No/Other Qualification
JE09-078f53,Personal weigher/ receptionist,No/Other Qualification
MT08-148f30,Pharmacist,Professional/Vocational
JE09-168f42,Pharmacy assistant,Professional/Vocational
JE09-340f33,Pharmacy technician,Professional/Vocational
GIB10-135m59,"photographer, shop owner",No/Other Qualification
JE09-248f21,Photographic studio assistant,No/Other Qualification
SE22-260m42,Physician (Chinese Medicine),Professional/Vocational
JE09-329m48,Plumber,Work-Based Learning
MT18-206f27,Police,Professional/Vocational
MT18-259m29,Police,Professional/Vocational
MT18-160m38,Police constable,Professional/Vocational
MT18-163f22,Police officer,Professional/Vocational
MT18-224f20,Police officer,Professional/Vocational
MT18-261m19,Police officer,Professional/Vocational
MT18-208m23,Policeman,Professional/Vocational
GIB10-308m30,policeman,Professional/Vocational
GIB10-317m43,policeman,Professional/Vocational
GIB10-328m23,policeman,Professional/Vocational
MT13-086m46,prepares files at law court,Professional/Vocational
MT08-043m66,Priest,Professional/Vocational
MT13-276m53,Printer,Professional/Vocational
MT13-078m72,prison ward,No/Other Qualification
SE22-217m36,Private Banker,Professional/Vocational
MT18-124m61,PRM with ?,No/Other Qualification
MT23-0243,public relation,Professional/Vocational
JE09-339m19,Publishing manager,Professional/Vocational
JE09-021f17,Pupil,No/Other Qualification
JE09-067m8,Pupil,No/Other Qualification
JE09-094f15,Pupil,No/Other Qualification
JE09-171m15,Pupil,No/Other Qualification
SC16-252m16,Pupil,No/Other Qualification
WA10-052f17,Pupil,No/Other Qualification
WA10-142f17,Pupil,No/Other Qualification
WA10-158f16,Pupil,No/Other Qualification
WA10-163f16,Pupil,No/Other Qualification
WA10-164f17,Pupil,No/Other Qualification
WA10-168f16,Pupil,No/Other Qualification
WA10-174m16,Pupil,No/Other Qualification
WA10-189m16,Pupil,No/Other Qualification
WA10-201f16,Pupil,No/Other Qualification
WA10-203m16,Pupil,No/Other Qualification
WA10-209f17,Pupil,No/Other Qualification
WA10-214m17,Pupil,No/Other Qualification
WA10-238f16,Pupil,No/Other Qualification
GIB10-310m14,pupil,No/Other Qualification
GIB10-311m15,pupil,No/Other Qualification
GIB10-314m16,pupil,No/Other Qualification
GIB10-315f16,pupil,No/Other Qualification
GIB10-316f16,pupil,No/Other Qualification
WA10-081m17,"Pupil, part-time McDonalds crew member",No/Other Qualification
WA10-082f17,"Pupil, part-time McDonalds crew member",No/Other Qualification
DK22-038f61,QA-Employee  Factory,No/Other Qualification
CA15-049f60,quality technician,No/Other Qualification
JE09-077m31,Reatail sales person,No/Other Qualification
AUS10-003f22,Reception,No/Other Qualification
MT09-075f42,receptionist,No/Other Qualification
JE09-272m18,Referee,No/Other Qualification
MT13-337f53,research,Higher Education
JE09-035f81,Residential Child Care Officer,Professional/Vocational
GIB10-388f42,restaurant teller,No/Other Qualification
CA15-051f51,retail,No/Other Qualification
AUS10-040f65,Retired,No/Other Qualification
JE09-069f76,Retired,No/Other Qualification
JE09-225m62,Retired,No/Other Qualification
MT09-054f89,retired,No/Other Qualification
MT09-069m73,retired,No/Other Qualification
MT09-118f66,retired,No/Other Qualification
MT18-126m66,Retired,No/Other Qualification
MT18-133f79,Retired,No/Other Qualification
MT18-367m62,Retired,No/Other Qualification
SC16-094f66,Retired,No/Other Qualification
SC16-234f62,Retired,No/Other Qualification
SC16-261m63,Retired,No/Other Qualification
SC16-264m65,Retired,No/Other Qualification
SE22-174f68,Retired,No/Other Qualification
SE22-210m73,Retired,No/Other Qualification
US18-043f78,Retired,No/Other Qualification
US18-080f75,Retired,No/Other Qualification
WA10-038f60,Retired,No/Other Qualification
WA10-048f73,Retired,No/Other Qualification
WA10-117m57,Retired,No/Other Qualification
WA10-121f77,Retired,No/Other Qualification
WA10-122m79,Retired,No/Other Qualification
WA10-124m62,Retired,No/Other Qualification
WA10-125f68,Retired,No/Other Qualification
WA10-126m69,Retired,No/Other Qualification
WA10-131f63,Retired,No/Other Qualification
WA10-240m73,Retired,No/Other Qualification
WA10-242f71,Retired,No/Other Qualification
WA10-288m59,Retired,No/Other Qualification
WA10-318f70,Retired,No/Other Qualification
GIB10-226m61,retired,No/Other Qualification
GIB10-244f63,retired (accounts clerk),No/Other Qualification
MT13-112f76,retired (personal assistant,No/Other Qualification
JE09-056m87,"Retired (worked at riding school, shopkeeper)",No/Other Qualification
MT18-397f68,Retired - earlier factory worker,No/Other Qualification
WA10-110f61,Retired but still a carer,No/Other Qualification
MT09-217m60,retired civil servant,Work-Based Learning
JE09-311f74,retired post lady,No/Other Qualification
JE09-318f80,retired secretary,No/Other Qualification
JE09-203f69,"Retired, co-secretary",No/Other Qualification
MT18-380m80,Retired; dry dock,No/Other Qualification
JE09-313m40,Roofer,Work-Based Learning
SC16-337m19,Run clothing line,No/Other Qualification
MT13-094f37,Sales Assistant,No/Other Qualification
MT13-181m21,sales assistant,No/Other Qualification
MT13-228f26,Sales Assistant,No/Other Qualification
MT13-246f40,Sales Assistant,No/Other Qualification
MT13-249f27,Sales Assistant,No/Other Qualification
MT13-284f35,Sales Assistant,No/Other Qualification
MT13-290f27,Sales Assistant,No/Other Qualification
MT13-327f25,sales assistant,No/Other Qualification
MT18-194f25,Sales assistant,No/Other Qualification
MT18-242f20,Sales assistant,No/Other Qualification
MT18-246f36,Sales assistant,No/Other Qualification
MT18-249f29,Sales assistant,No/Other Qualification
MT18-252f27,Sales assistant,No/Other Qualification
MT18-300f37,Sales assistant,No/Other Qualification
MT18-328NA30,Sales assistant,No/Other Qualification
MT18-441f35,Sales assistant,No/Other Qualification
GIB10-162f57,sales assistant,No/Other Qualification
MT18-399f54,Sales assistant at airport,No/Other Qualification
JE09-088f54,Sales assitant,No/Other Qualification
JE09-089m35,Sales assitant,No/Other Qualification
CA15-038f22,sales coordinator Holiday Inn Express & Suite,No/Other Qualification
MT18-301m56,Sales executive,No/Other Qualification
MT13-178f17,sales girl,No/Other Qualification
MT13-401f20,sales girl,No/Other Qualification
MT13-420f21,sales girl,No/Other Qualification
MT18-143f35,Sales girl,No/Other Qualification
MT18-241f24,Sales girl,No/Other Qualification
MT18-314f26,Sales girl,No/Other Qualification
MT18-355f40,Sales girl,No/Other Qualification
MT18-391f23,Sales girl,No/Other Qualification
MT13-179m48,sales man,No/Other Qualification
MT13-231m21,Sales Man,No/Other Qualification
MT18-238m47,Sales manager,No/Other Qualification
GIB10-155f24,sales manager,No/Other Qualification
MT18-280f68,Sales person,No/Other Qualification
MT18-302m53,Sales person,No/Other Qualification
MT18-435f16,Sales person,No/Other Qualification
JE09-016NA19,Sales Represantative in a bank,No/Other Qualification
MT18-250f65,Sales representative,No/Other Qualification
MT13-096f40,Salesgirl,No/Other Qualification
MT18-138f57,Salesgirl,No/Other Qualification
MT18-378f31,Salesgirl/bartender,No/Other Qualification
MT13-274m54,salesman,No/Other Qualification
MT13-275m58,salesman,No/Other Qualification
MT18-278f60,Salesperson,No/Other Qualification
MT18-398f29,Salesperson at jeweller,No/Other Qualification
MT13-079m62,scaffolder,Work-Based Learning
GIB10-126m41,scaffolder,Work-Based Learning
MT23-0301,school,No/Other Qualification
JE09-155f56,Secretary,No/Other Qualification
MT18-316f39,Secretary,No/Other Qualification
MT23-0483,secretary,No/Other Qualification
SE22-258f56,Secretary,No/Other Qualification
MT18-323m59,Security guard,No/Other Qualification
MT18-438f56,Security; Heritage Museum,No/Other Qualification
MT13-381m46,self employed,No/Other Qualification
MT13-422m33,Self Employed,No/Other Qualification
SI24-0086,self employed,No/Other Qualification
SI24-0074.1,self employed,No/Other Qualification
SI24-0063.1,self employed,No/Other Qualification
MT18-428m35,Self-employed,No/Other Qualification
MT18-442f44,Self-employed,No/Other Qualification
GIB10-185f40,seller,No/Other Qualification
WA10-235f64,Semi-retired,No/Other Qualification
MT13-318f47,senior clerk,No/Other Qualification
MT18-141m22,Senior clerk,No/Other Qualification
WA10-331m59,Service Engineer,Professional/Vocational
JE09-182m63,Service engineer (retired),Professional/Vocational
GIB10-142m32,shipping agent,No/Other Qualification
MT18-275m57,Shipping clerk,No/Other Qualification
SI24-0114,shop,No/Other Qualification
MT08-085f61,"Shop
Owner",No/Other Qualification
MT08-177m55,"Shop
Owner",No/Other Qualification
MT09-092f27,shop assistant,No/Other Qualification
MT13-253f33,shop assistant,No/Other Qualification
GIB10-130m32,shop assistant,No/Other Qualification
GIB10-132f26,shop assistant,No/Other Qualification
GIB10-161f46,shop assistant,No/Other Qualification
GIB10-344f53,shop assistant,No/Other Qualification
GIB10-381m34,shop assistant,No/Other Qualification
GIB10-384m33,shop assistant,No/Other Qualification
GIB10-312f24,shop assistant for jewellery,No/Other Qualification
WA10-330f34,Shop Floor Assistant,No/Other Qualification
GIB10-128f27,shop keeper,No/Other Qualification
MT13-115f22,shop manager,No/Other Qualification
MT13-138f50,shop manager,No/Other Qualification
MT13-461m47,Shop manager,No/Other Qualification
MT18-236NA47,Shop manager,No/Other Qualification
MT18-247f41,Shop manager,No/Other Qualification
MT18-310f28,Shop manager,No/Other Qualification
SC16-058m45,Shop manager,No/Other Qualification
MT18-251f25,Shop manager &  ? letting administrator,No/Other Qualification
MT13-111f53,shop owner,No/Other Qualification
MT13-120f44,Shop owner,No/Other Qualification
MT13-367m51,shop owner,No/Other Qualification
MT13-482f48,Shop owner,No/Other Qualification
MT18-287m30,Shop owner,No/Other Qualification
MT18-427m36,Shop owner,No/Other Qualification
SI24-0274,shop owner,No/Other Qualification
GIB10-320m50,shop owner,No/Other Qualification
GIB10-371f49,shop owner,No/Other Qualification
GIB10-382f45,shop owner,No/Other Qualification
GIB10-387f45,shop owner,No/Other Qualification
GIB10-393m30,shop owner,No/Other Qualification
GIB10-313m53,shop owner (food),No/Other Qualification
JE09-048m54,Shop Salesman,No/Other Qualification
MT18-175f30,Shopkeeper,No/Other Qualification
JE09-022m58,Sight Guardian,No/Other Qualification
MT13-089f60,souvenir shop owner,No/Other Qualification
AUS10-039f44,"Spanish Teacher, Art student",Higher Education
GIB10-389f19,sports bar tender,No/Other Qualification
WA10-245f58,Staff nurse,Professional/Vocational
MT18-389f32,Store manager,No/Other Qualification
GIB10-251m67,street cleaner,No/Other Qualification
CA15-010m20,student,Higher Education
DE19-138f20,Student,Higher Education
HI15-001f15,Student,Secondary Education
HI15-003m17,Student,Secondary Education
HI15-004f15,Student,Secondary Education
JE09-001f17,Student,Secondary Education
JE09-002f16,Student,Secondary Education
