Original_Qualification,Mapped_Category
Ausbildung (Industriekauffrau),No/Other Qualification
Ausbildung Fotolaborantin,No/Other Qualification
Ausbildung IT- Specialist,No/Other Qualification
B Communication General,No/Other Qualification
B.A.,No/Other Qualification
B.A. (Political Science),No/Other Qualification
"B.A., B.Ed.",No/Other Qualification
B.Com.,No/Other Qualification
B.Ed.,No/Other Qualification
B.S.,No/Other Qualification
B.S. College Degree,Higher Education
B.S. of Electrical Engineering,No/Other Qualification
B.S.E.,No/Other Qualification
B.Sc.,No/Other Qualification
BA,No/Other Qualification
BA (Hons),Higher Education
BA (hons),Higher Education
BA (house drawing/painting),Higher Education
BA - Fine Art,Higher Education
BA Economics,Higher Education
BA Engineering,Higher Education
BA History,Higher Education
BA LIB,Higher Education
BA Natural Sciences,Higher Education
BA PGCE,Higher Education
BA degree,Higher Education
BA honours,Higher Education
BA in Accountability (accountancy??),Higher Education
BA in Marketing,Higher Education
BA of Education,Higher Education
BA/MA (Dipl),No/Other Qualification
BA/PGCE,Higher Education
BBA,No/Other Qualification
BDS,No/Other Qualification
BENG,No/Other Qualification
BS,No/Other Qualification
BS Electrical engineering,No/Other Qualification
BSC,Higher Education
BSC's honours,Higher Education
BSc,Higher Education
BSc (Bachelor),Higher Education
BSc Honors Degree,Higher Education
BSc Honours,Higher Education
BSc Honours Degree,Higher Education
"BSc, Master's",Higher Education
BT Manager,No/Other Qualification
BTEC,Professional/Vocational
BTEC National Diploma Dental Technician,Professional/Vocational
BWL University Graduate,Higher Education
Babysitter,No/Other Qualification
Bachelor,Higher Education
"Bachelor
CELTA",Higher Education
"Bachelor (, Cambridge Business Diploma, IELTS 8.5)",Higher Education
Bachelor (Accountancy),Higher Education
Bachelor (Actuarial Science),Higher Education
Bachelor (BA),Higher Education
Bachelor (Business and IT),Higher Education
Bachelor (Chemical Engineering),Higher Education
Bachelor (Communication),Higher Education
Bachelor (Doctor of Law (ongoing)),Higher Education
Bachelor (Education),Higher Education
Bachelor (Hospitality and tourism),Higher Education
Bachelor (Industrial Engineering),Higher Education
Bachelor (LLB. Hons. II),Higher Education
Bachelor (Nursing),Higher Education
Bachelor (Textile Design),Higher Education
Bachelor (in progress),Higher Education
Bachelor (of Laws),Higher Education
Bachelor (of Science),Higher Education
Bachelor (ongoing),Higher Education
Bachelor (post-graduate diploma),Higher Education
"Bachelor (sixth year studies, Physics degree)",Higher Education
Bachelor (specialist in Food Technology),Higher Education
Bachelor - Primary School teaching,Higher Education
Bachelor Degree,Higher Education
Bachelor Hon.,Higher Education
Bachelor Medicine,Higher Education
Bachelor Professional of Business (CCI),Higher Education
Bachelor degree,Higher Education
Bachelor engineering,Higher Education
Bachelor of Arts,Higher Education
Bachelor of Communication and Psychology,Higher Education
Bachelor of Divinity,Higher Education
Bachelor of Education,Higher Education
Bachelor of Law,Higher Education
Bachelor of Laws,Higher Education
Bachelor of Science,Higher Education
Bachelor of commerce,Higher Education
Bachelor of education,Higher Education
Bachelor of science,Higher Education
Bachelor ongoing,Higher Education
Bachelor's,Higher Education
Bachelor's Degree,Higher Education
Bachelor's degree,Higher Education
"Bachelor, A-Levels, GCSE's",Higher Education
"Bachelor, Master's",Higher Education
"Bachelor, Master's (P. G. C. E.)",Higher Education
"Bachelor, Master's, Highest level secondary school (Highers)",Higher Education
"Bachelor, Master's, PhD",Higher Education
"Bachelor, Masters",Higher Education
"Bachelor, Other (ACA, HDIPED)",Higher Education
"Bachelor, Other (Teacher training college)",Higher Education
"Bachelor, PGCE",Higher Education
"Bachelor, PhD",Higher Education
"Bachelor, Teacher Training",Higher Education
"Bachelor, Vocational classes (Mechanic)",Higher Education
"Bachelor, diploma",Higher Education
"Bachelor, matricualation certificate",Higher Education
"Bachelor, other (CIPD Chartered Member)",Higher Education
"Bachelor, other (Diploma Archive Administration)",Higher Education
"Bachelor, other (Post Graduate Diploma)",Higher Education
"Bachelor, other (postgraduate certificate)",Higher Education
"Bachelor, work training (Recruitment Certificate)",Higher Education
Bachelor/MT,Higher Education
Bachelor: BsC Earth Systems,Higher Education
Bachelor: European studies and Italian,Higher Education
Bachelor: Philosophy and Economics,Higher Education
Bachelor: medical  course MD,Higher Education
Bachelor; Master's,Higher Education
Bachelors,Higher Education
Bachelors Degree,Higher Education
Bachelors degree,Higher Education
"Bachelors, history",Higher Education
Bacherlor,No/Other Qualification
Bachillerato,No/Other Qualification
Bachlor,No/Other Qualification
Bank clerk,No/Other Qualification
Banker,No/Other Qualification
Banking,No/Other Qualification
Banking Certificate,Professional/Vocational
Banking examinations,No/Other Qualification
Bankkauffrau,No/Other Qualification
Barber,No/Other Qualification
Barts,No/Other Qualification
Basic education,No/Other Qualification
Bawer,No/Other Qualification
Beautician,No/Other Qualification
Beautician degree,Higher Education
Berufsausbildung,No/Other Qualification
Betreuungsassistentin,No/Other Qualification
Bigi School of restoration,No/Other Qualification
Bio-Chemistry Degree,Higher Education
Biology Degree,Higher Education
Bmed,No/Other Qualification
"Boarding School, St. Helier Girls'",No/Other Qualification
Btec National Diploma Media,Professional/Vocational
Bus driver,No/Other Qualification
Business B Tec,No/Other Qualification
Business School,No/Other Qualification
Business Studies Degree,Higher Education
Business college,Professional/Vocational
Business/Economics,No/Other Qualification
Businessman,No/Other Qualification
CA,No/Other Qualification
CAA Qualified,Professional/Vocational
CBT Therapist,No/Other Qualification
CCIM,No/Other Qualification
CELTA,No/Other Qualification
CIMA,No/Other Qualification
COD,No/Other Qualification
CPA,No/Other Qualification
CSCs,No/Other Qualification
CSE,Secondary Education
CSEs,Secondary Education
CT and G,No/Other Qualification
Cadetship,No/Other Qualification
Capitan,No/Other Qualification
Care manager,No/Other Qualification
Carer,No/Other Qualification
Carpenter,No/Other Qualification
Cashier,No/Other Qualification
Caterer,No/Other Qualification
Catering,No/Other Qualification
Catering HND,Professional/Vocational
Catering school,No/Other Qualification
Certificate,Professional/Vocational
Certificate in Education,Professional/Vocational
Certificate in Secriterial & Administrative Studies,Professional/Vocational
Certificate in Tourism Studies,Professional/Vocational
Certificate of Education,Professional/Vocational
Certificate of Higher Education,Professional/Vocational
Certification,Professional/Vocational
Certified Public Accountant,No/Other Qualification
Charted accountant,No/Other Qualification
Chef,No/Other Qualification
Chemistry Engineer,No/Other Qualification
"Child protection, referee",No/Other Qualification
City & Guilds,No/Other Qualification
City & Guilds (Floristry),No/Other Qualification
City + Guilds Telecoms,No/Other Qualification
City and ...,No/Other Qualification
City and Guilds,Professional/Vocational
City and guilds,Professional/Vocational
Civil Engineer,No/Other Qualification
Civil Service Examination,No/Other Qualification
Clerk,No/Other Qualification
College,Professional/Vocational
College Course,Professional/Vocational
College Degree,Higher Education
College Diploma,Professional/Vocational
College NC,Professional/Vocational
College certificate,Professional/Vocational
College degree,Higher Education
College diploma,Professional/Vocational
College qualification,Professional/Vocational
College student,Professional/Vocational
Collge Degree,Higher Education
Comapny's Chief Financial Officier,No/Other Qualification
Commerce degree,Higher Education
"Completed
Secondary
School",Secondary Education
Completed High School,Secondary Education
Completed Work Training as Bank Assistant,Work-Based Learning
Completed vocational training,Professional/Vocational
Compliance,No/Other Qualification
Computer Technician,No/Other Qualification
Conservatory,No/Other Qualification
Consultant,No/Other Qualification
Contractor,No/Other Qualification
Corporal British Forces,No/Other Qualification
Counselor,No/Other Qualification
Course in Doctor of Medicine and Surgery,Higher Education
Courses,No/Other Qualification
Cpa,No/Other Qualification
Credit/Standard grade,Secondary Education
D.Ed,No/Other Qualification
DD Training,Work-Based Learning
DDR,No/Other Qualification
DMD,No/Other Qualification
Degree,Higher Education
Degree (Bachelor),Higher Education
Degree (Occupational Therapy),Higher Education
Degree Accountant,Higher Education
Degree Assoc.,Higher Education
Degree Graphic Design/Illustration,Higher Education
Degree Law,Higher Education
Degree Optometry,Higher Education
Degree at I TS,Higher Education
"Degree from
Montesouri",Higher Education
Degree in Medicine,Higher Education
Degree in Professional Teaching,Higher Education
Degree in Psychology,Higher Education
Degree in Software,Higher Education
Degree in Teaching,Higher Education
Degree in health and social care,Higher Education
Degree in marketing,Higher Education
Degree in social sciences,Higher Education
Degree level,Higher Education
Dental Degree,Higher Education
Dental hygienist,No/Other Qualification
Dentist,No/Other Qualification
Department Stores,No/Other Qualification
Diegree mechanical engineer,No/Other Qualification
Dietician,No/Other Qualification
Dip.MGT Studies,No/Other Qualification
Dipl. Designer,No/Other Qualification
Dipl. Ing.,No/Other Qualification
Dipl. Ing. Architect,No/Other Qualification
Dipl. Ingenieur,No/Other Qualification
Dipl. Päd.,No/Other Qualification
Dipl. phys.,No/Other Qualification
Diplom,No/Other Qualification
Diplom (Engineering),No/Other Qualification
Diplom (FH),No/Other Qualification
Diplom (Mechanical Engineering),No/Other Qualification
Diplom (Psychology),No/Other Qualification
Diplom FH,No/Other Qualification
Diplom Grafikdesign English,No/Other Qualification
Diplom Informatics,Secondary Education
Diplom Ingenieur,No/Other Qualification
Diplom Soz. Päd.,No/Other Qualification
Diplom Textiltechnik,No/Other Qualification
Diplom engineer,No/Other Qualification
Diplom social work,No/Other Qualification
Diploma,Secondary Education
Diploma (Art&Design),Secondary Education
Diploma (Creative Media),Secondary Education
Diploma (FH),Secondary Education
Diploma (History of Arts),Secondary Education
Diploma (Hotel management),Secondary Education
Diploma MQF level 5,Secondary Education
Diploma Nursing,Secondary Education
Diploma Photography,Secondary Education
Diploma Psychology,Secondary Education
Diploma Soz.Päd.,Secondary Education
Diploma degree,Higher Education
Diploma from Southampon University,Higher Education
Diploma general Studies,Secondary Education
